Date,Open,High,Low,Close,Volume
12/29/2022,"7.150","7.700","7.150","7.670","4,002,500"
12/28/2022,"7.100","7.200","7.000","7.090","485,900"
12/27/2022,"7.000","7.150","7.000","7.100","236,700"
12/23/2022,"7.150","7.150","7.000","7.000","748,500"
12/22/2022,"7.270","7.270","6.910","7.160","442,200"
12/21/2022,"6.780","7.300","6.720","7.290","1,404,200"
12/20/2022,"6.700","6.780","6.600","6.780","152,800"
12/19/2022,"6.700","6.850","6.170","6.750","394,200"
12/16/2022,"6.700","6.790","6.500","6.700","418,500"
12/15/2022,"6.860","6.950","6.620","6.830","272,200"
12/14/2022,"6.610","6.980","6.610","6.900","383,600"
12/13/2022,"7.180","7.300","6.000","6.970","1,895,000"
12/12/2022,"6.800","7.270","6.800","7.190","3,061,700"
12/09/2022,"6.420","6.850","6.420","6.800","1,764,900"
12/07/2022,"6.150","6.530","6.150","6.420","1,610,600"
12/06/2022,"6.150","6.300","6.110","6.150","142,800"
12/05/2022,"6.300","6.390","6.100","6.180","320,000"
12/02/2022,"6.000","6.400","6.000","6.280","1,634,500"
12/01/2022,"5.920","6.100","5.730","5.960","433,600"
11/29/2022,"5.900","5.980","5.900","5.920","81,300"
11/28/2022,"6.080","6.080","5.800","5.900","270,900"
11/25/2022,"6.090","6.090","5.840","6.010","248,400"
11/24/2022,"6.100","6.230","6.060","6.120","97,200"
11/23/2022,"6.300","6.300","6.040","6.270","129,300"
11/22/2022,"6.200","6.450","6.200","6.280","509,800"
11/21/2022,"6.300","6.300","6.130","6.160","320,000"
11/18/2022,"5.950","6.300","5.870","6.200","1,070,500"
11/17/2022,"5.790","5.900","5.790","5.890","37,400"
11/16/2022,"5.850","5.950","5.770","5.840","106,400"
11/15/2022,"5.970","5.970","5.800","5.920","130,600"
11/14/2022,"5.980","5.980","5.800","5.900","50,400"
11/11/2022,"5.670","5.980","5.670","5.890","44,300"
11/10/2022,"5.770","5.850","5.660","5.660","257,000"
