Date,Open,High,Low,Close,Volume
12/29/2020,"3.030","3.050","3.030","3.050","11,000"
12/23/2020,"2.930","3.000","2.930","3.000","224,000"
12/22/2020,"2.980","2.980","2.900","2.900","8,000"
12/21/2020,"3.010","3.010","3.010","3.010","8,000"
12/18/2020,"3.000","3.000","3.000","3.000","720,000"
12/17/2020,"2.980","3.000","2.980","3.000","233,000"
12/14/2020,"2.950","3.000","2.950","3.000","152,000"
12/11/2020,"2.900","2.900","2.900","2.900","8,000"
12/10/2020,"2.990","3.000","2.990","3.000","128,000"
12/09/2020,"2.940","2.940","2.940","2.940","6,000"
12/07/2020,"2.990","2.990","2.990","2.990","3,000"
12/04/2020,"2.990","3.000","2.990","3.000","163,000"
12/02/2020,"2.890","3.000","2.890","3.000","215,000"
11/25/2020,"2.800","2.800","2.800","2.800","1,000"
11/24/2020,"2.500","2.500","2.500","2.500","7,000"
11/19/2020,"2.610","2.980","2.600","2.980","14,000"
11/17/2020,"2.520","2.520","2.520","2.520","2,000"
10/20/2020,"2.590","2.590","2.590","2.590","1,000"
10/16/2020,"2.420","2.590","2.410","2.590","10,000"
09/23/2020,"2.600","2.610","2.600","2.610","40,000"
09/18/2020,"2.480","2.600","2.450","2.600","34,000"
09/17/2020,"2.600","2.600","2.200","2.480","45,000"
09/16/2020,"2.600","2.600","2.600","2.600","30,000"
09/15/2020,"2.600","2.600","2.600","2.600","30,000"
09/10/2020,"2.600","2.600","2.600","2.600","30,000"
09/09/2020,"2.600","2.600","2.600","2.600","30,000"
09/08/2020,"2.600","2.600","2.600","2.600","20,000"
08/14/2020,"2.600","2.600","2.600","2.600","8,000"
08/12/2020,"2.660","2.660","2.660","2.660","4,000"
07/21/2020,"2.270","2.270","2.270","2.270","1,000"
07/10/2020,"2.620","2.620","2.610","2.610","12,000"
07/09/2020,"2.800","2.800","2.800","2.800","5,000"
06/30/2020,"2.800","2.810","2.800","2.810","20,000"
06/25/2020,"2.730","2.800","2.730","2.800","24,000"
06/19/2020,"2.150","2.700","2.150","2.700","368,000"
06/18/2020,"2.650","2.650","2.500","2.500","43,000"
06/16/2020,"2.640","2.650","2.640","2.650","5,000"
06/11/2020,"2.510","2.540","2.510","2.540","7,000"
06/03/2020,"2.510","2.510","2.510","2.510","100,000"
06/01/2020,"2.590","2.590","2.590","2.590","2,000"
05/28/2020,"2.850","2.880","2.850","2.880","20,000"
05/05/2020,"2.900","2.900","2.900","2.900","5,000"
05/04/2020,"2.360","2.360","2.350","2.350","6,000"
04/27/2020,"2.400","2.500","2.400","2.500","8,000"
03/30/2020,"2.600","2.600","2.600","2.600","2,000"
03/25/2020,"2.600","2.600","2.600","2.600","3,000"
03/23/2020,"2.400","2.400","2.400","2.400","75,000"
03/16/2020,"2.400","2.400","2.400","2.400","23,000"
03/13/2020,"2.500","2.500","2.480","2.480","104,000"
03/12/2020,"2.520","2.520","2.520","2.520","32,000"
03/09/2020,"2.620","2.620","2.580","2.580","37,000"
03/02/2020,"2.620","2.620","2.620","2.620","30,000"
02/28/2020,"2.650","2.650","2.650","2.650","29,000"
02/21/2020,"2.700","2.700","2.700","2.700","361,000"
02/20/2020,"2.740","2.740","2.740","2.740","22,000"
02/12/2020,"2.740","2.800","2.740","2.800","41,000"
02/11/2020,"2.750","2.750","2.750","2.750","10,000"
02/10/2020,"2.790","2.800","2.790","2.800","3,000"
02/04/2020,"2.750","2.750","2.720","2.720","4,000"
01/30/2020,"2.750","2.750","2.750","2.750","2,000"
01/20/2020,"2.720","2.720","2.720","2.720","2,000"
01/10/2020,"2.730","2.980","2.730","2.730","12,000"
01/08/2020,"2.990","2.990","2.990","2.990","6,000"
01/02/2020,"2.950","2.990","2.950","2.990","20,000"
