Date,Open,High,Low,Close,Volume
12/29/2023,"2.990","3.000","2.990","3.000","20,000"
12/28/2023,"2.960","2.990","2.960","2.990","85,000"
12/27/2023,"2.990","2.990","2.950","2.950","289,000"
12/22/2023,"2.990","3.000","2.980","2.980","1,973,000"
12/21/2023,"2.990","3.000","2.990","3.000","512,000"
12/20/2023,"2.970","2.990","2.970","2.990","130,000"
12/19/2023,"3.000","3.000","2.980","3.000","49,000"
12/18/2023,"2.980","3.000","2.980","3.000","186,000"
12/15/2023,"2.990","2.990","2.970","2.980","26,000"
12/14/2023,"2.990","2.990","2.990","2.990","7,000"
12/13/2023,"2.990","2.990","2.990","2.990","14,000"
12/12/2023,"3.000","3.000","2.990","2.990","104,000"
12/11/2023,"2.950","2.990","2.950","2.990","152,000"
12/07/2023,"2.990","2.990","2.980","2.990","11,000"
12/06/2023,"2.940","2.990","2.940","2.980","37,000"
12/05/2023,"2.940","2.940","2.930","2.940","913,000"
12/04/2023,"2.960","2.960","2.950","2.950","27,000"
12/01/2023,"3.000","3.000","2.930","2.960","1,655,000"
11/30/2023,"2.980","2.990","2.940","2.940","75,000"
11/29/2023,"2.990","2.990","2.960","2.960","136,000"
11/28/2023,"3.000","3.000","2.980","2.980","547,000"
11/24/2023,"3.000","3.000","2.990","3.000","41,000"
11/23/2023,"2.990","2.990","2.990","2.990","20,000"
11/22/2023,"3.000","3.000","2.990","2.990","15,000"
11/21/2023,"2.980","3.000","2.980","3.000","950,000"
11/20/2023,"2.980","2.990","2.980","2.990","50,000"
11/17/2023,"2.990","2.990","2.990","2.990","29,000"
11/16/2023,"3.000","3.000","2.990","2.990","99,000"
11/15/2023,"3.000","3.000","2.990","3.000","2,552,000"
11/14/2023,"3.000","3.000","2.990","2.990","86,000"
11/13/2023,"3.000","3.000","3.000","3.000","55,000"
11/10/2023,"3.000","3.000","3.000","3.000","2,745,000"
11/09/2023,"3.000","3.000","3.000","3.000","1,795,000"
11/08/2023,"3.000","3.000","2.980","3.000","642,000"
11/07/2023,"3.000","3.000","2.980","3.000","563,000"
11/06/2023,"3.000","3.000","2.980","3.000","150,000"
11/03/2023,"3.100","3.100","2.990","3.000","257,000"
10/31/2023,"3.040","3.040","2.990","2.990","897,000"
10/27/2023,"3.050","3.050","3.040","3.040","1,530,000"
10/26/2023,"3.070","3.070","3.010","3.070","116,000"
10/25/2023,"3.100","3.100","3.010","3.010","23,000"
10/24/2023,"3.100","3.100","2.990","3.090","147,000"
10/23/2023,"3.150","3.150","2.990","2.990","1,599,000"
10/20/2023,"3.100","3.140","3.010","3.100","1,686,000"
10/19/2023,"3.080","3.090","3.010","3.090","17,000"
10/18/2023,"3.090","3.090","3.010","3.010","19,000"
10/17/2023,"3.090","3.090","3.010","3.010","59,000"
10/16/2023,"3.090","3.100","3.000","3.000","765,000"
10/13/2023,"3.100","3.100","2.980","3.050","69,000"
10/12/2023,"3.090","3.100","3.050","3.050","371,000"
10/11/2023,"3.040","3.040","2.980","3.000","1,637,000"
10/10/2023,"3.050","3.050","3.010","3.050","47,000"
10/09/2023,"3.020","3.130","3.010","3.050","457,000"
10/06/2023,"3.050","3.060","3.020","3.020","25,000"
10/05/2023,"3.120","3.190","3.050","3.050","365,000"
10/04/2023,"3.150","3.150","3.010","3.020","76,000"
10/03/2023,"3.080","3.080","3.060","3.080","23,000"
10/02/2023,"3.160","3.160","3.080","3.080","36,000"
09/29/2023,"3.150","3.150","3.080","3.140","375,000"
09/28/2023,"3.150","3.150","3.110","3.130","27,000"
09/27/2023,"3.110","3.180","3.110","3.110","6,000"
09/26/2023,"3.120","3.120","3.100","3.100","5,000"
09/25/2023,"3.150","3.150","3.150","3.150","60,000"
09/22/2023,"3.150","3.150","3.150","3.150","40,000"
09/21/2023,"3.100","3.100","3.100","3.100","104,000"
09/20/2023,"3.100","3.100","3.100","3.100","8,000"
09/19/2023,"3.000","3.000","2.980","3.000","1,415,000"
09/18/2023,"3.100","3.100","2.990","3.000","1,752,000"
09/15/2023,"3.000","3.000","3.000","3.000","1,113,000"
09/13/2023,"3.000","3.000","2.980","3.000","206,000"
09/12/2023,"3.000","3.000","3.000","3.000","228,000"
09/11/2023,"3.000","3.000","2.980","2.980","5,354,000"
09/08/2023,"3.000","3.000","3.000","3.000","1,445,000"
09/07/2023,"3.000","3.000","2.990","2.990","1,373,000"
09/06/2023,"3.000","3.000","3.000","3.000","589,000"
09/05/2023,"3.000","3.000","3.000","3.000","2,088,000"
09/04/2023,"3.000","3.000","2.990","3.000","251,000"
09/01/2023,"3.100","3.100","2.990","3.000","3,896,000"
08/31/2023,"3.130","3.130","3.100","3.130","11,000"
08/30/2023,"3.140","3.140","3.090","3.140","23,000"
08/29/2023,"3.150","3.150","3.140","3.140","13,000"
08/25/2023,"3.170","3.170","3.170","3.170","2,000"
08/24/2023,"3.190","3.190","3.180","3.180","22,000"
08/23/2023,"3.150","3.190","3.140","3.190","11,000"
08/22/2023,"3.190","3.190","3.140","3.140","16,000"
08/18/2023,"3.190","3.190","3.190","3.190","1,000"
08/17/2023,"3.180","3.190","3.150","3.190","21,000"
08/15/2023,"3.160","3.190","3.150","3.190","323,000"
08/14/2023,"3.190","3.190","3.150","3.150","106,000"
08/09/2023,"3.160","3.160","3.150","3.150","5,000"
08/08/2023,"3.150","3.190","3.140","3.190","37,000"
08/07/2023,"3.180","3.180","3.140","3.140","5,000"
08/04/2023,"3.190","3.190","3.190","3.190","8,000"
08/03/2023,"3.200","3.200","3.190","3.190","12,000"
08/02/2023,"3.190","3.200","3.180","3.200","6,000"
08/01/2023,"3.190","3.190","3.180","3.180","39,000"
07/31/2023,"3.200","3.200","3.190","3.190","10,000"
07/28/2023,"3.200","3.200","3.180","3.180","3,000"
07/27/2023,"3.200","3.200","3.200","3.200","60,000"
07/26/2023,"3.200","3.240","3.180","3.200","241,000"
07/25/2023,"3.150","3.200","3.150","3.200","25,000"
07/24/2023,"3.110","3.200","3.110","3.200","15,000"
07/21/2023,"3.230","3.230","3.230","3.230","12,000"
07/20/2023,"3.230","3.230","3.230","3.230","3,000"
07/19/2023,"3.200","3.200","3.200","3.200","1,000"
07/18/2023,"3.200","3.200","3.200","3.200","2,000"
07/17/2023,"3.200","3.200","3.200","3.200","5,000"
07/13/2023,"3.200","3.200","3.110","3.110","20,000"
07/12/2023,"3.230","3.230","3.120","3.210","18,000"
07/11/2023,"3.240","3.250","3.150","3.150","125,000"
07/10/2023,"3.250","3.250","3.240","3.240","18,000"
07/07/2023,"3.250","3.250","3.250","3.250","11,000"
07/06/2023,"3.260","3.270","3.250","3.250","58,000"
07/05/2023,"3.260","3.260","3.240","3.250","9,000"
07/04/2023,"3.240","3.250","3.200","3.200","13,000"
