Date,Open,High,Low,Close,Volume
12/29/2022,"14.98","14.98","14.72","14.96","3,069,100"
12/28/2022,"14.90","15.00","14.80","15.00","2,367,800"
12/27/2022,"15.00","15.04","14.88","14.90","798,500"
12/23/2022,"15.10","15.10","14.92","15.00","357,100"
12/22/2022,"15.02","15.12","15.02","15.10","794,400"
12/21/2022,"14.92","15.04","14.72","15.00","1,848,800"
12/20/2022,"14.88","15.00","14.84","14.90","1,694,600"
12/19/2022,"15.54","15.54","14.60","14.84","4,141,200"
12/16/2022,"15.68","15.68","15.28","15.54","4,049,000"
12/15/2022,"15.90","15.90","15.64","15.64","4,087,000"
12/14/2022,"15.98","16.00","15.44","15.96","5,031,200"
12/13/2022,"15.90","15.98","15.80","15.86","600,600"
12/12/2022,"16.00","16.28","15.80","15.88","645,100"
12/09/2022,"16.30","16.30","15.96","16.00","2,033,900"
12/07/2022,"16.14","16.36","16.06","16.30","1,550,300"
12/06/2022,"16.12","16.36","16.12","16.18","1,578,700"
12/05/2022,"16.00","16.50","16.00","16.50","594,700"
12/02/2022,"16.20","16.26","16.00","16.00","1,754,500"
12/01/2022,"16.28","16.50","16.22","16.22","1,575,700"
11/29/2022,"16.40","16.50","16.06","16.06","3,922,700"
11/28/2022,"16.34","16.78","16.32","16.60","1,512,300"
11/25/2022,"16.48","16.50","16.28","16.50","1,739,900"
11/24/2022,"16.72","16.84","16.48","16.48","2,847,800"
11/23/2022,"16.52","16.80","16.34","16.76","2,122,000"
11/22/2022,"16.52","16.58","16.20","16.58","3,960,700"
11/21/2022,"16.48","16.52","16.14","16.52","984,400"
11/18/2022,"15.90","16.40","15.90","16.40","3,363,800"
11/17/2022,"16.00","16.04","15.66","15.96","1,934,600"
11/16/2022,"15.98","16.00","15.64","16.00","2,865,000"
11/15/2022,"15.64","16.00","15.64","16.00","1,274,600"
11/14/2022,"15.60","15.72","15.56","15.72","449,300"
11/11/2022,"15.70","15.88","15.42","15.56","1,244,900"
11/10/2022,"15.28","15.40","15.00","15.40","569,800"
11/09/2022,"15.00","15.30","14.90","15.30","607,100"
11/08/2022,"15.28","15.50","14.88","15.16","1,528,400"
11/07/2022,"14.82","15.38","14.82","15.28","1,022,400"
11/04/2022,"14.90","14.98","14.72","14.90","998,300"
11/03/2022,"14.88","14.90","14.64","14.90","798,500"
11/02/2022,"14.82","15.10","14.50","15.10","2,670,100"
10/28/2022,"14.80","14.90","14.74","14.84","2,680,100"
10/27/2022,"15.10","15.50","14.70","14.70","3,683,000"
10/26/2022,"15.18","15.38","15.00","15.00","823,400"
10/25/2022,"15.30","15.40","15.00","15.00","1,173,300"
10/24/2022,"15.76","15.76","15.10","15.20","3,644,100"
10/21/2022,"15.36","15.60","15.20","15.20","1,486,400"
10/20/2022,"16.18","16.20","15.20","15.20","14,319,100"
10/19/2022,"16.60","16.60","16.30","16.30","1,333,400"
10/18/2022,"16.32","16.66","16.32","16.60","980,500"
10/17/2022,"16.76","16.76","16.16","16.32","816,300"
10/14/2022,"15.90","16.80","15.70","16.80","4,796,000"
10/13/2022,"15.60","15.64","15.50","15.62","699,300"
10/12/2022,"15.88","15.90","15.40","15.62","1,244,700"
10/11/2022,"15.52","15.88","15.52","15.88","490,800"
10/10/2022,"16.00","16.20","15.52","15.52","1,326,800"
10/07/2022,"16.38","16.38","16.00","16.00","111,800"
10/06/2022,"16.38","16.48","16.06","16.38","323,500"
10/05/2022,"16.20","16.52","16.18","16.38","722,300"
10/04/2022,"15.96","16.52","15.82","16.52","1,345,800"
10/03/2022,"16.18","16.18","15.72","15.80","614,400"
09/30/2022,"16.20","16.48","15.62","16.48","1,173,600"
09/29/2022,"16.02","16.48","16.02","16.46","927,700"
09/28/2022,"15.98","16.02","15.42","15.98","3,133,600"
09/27/2022,"16.36","16.36","15.54","15.98","4,199,900"
09/23/2022,"16.40","16.72","16.24","16.28","1,751,900"
09/22/2022,"16.84","16.84","16.34","16.40","1,275,600"
09/21/2022,"17.46","17.46","16.70","16.72","2,917,200"
09/20/2022,"17.70","17.90","17.44","17.48","2,691,300"
09/19/2022,"18.10","18.18","17.68","17.70","1,551,300"
09/16/2022,"18.70","18.70","18.10","18.10","787,000"
09/15/2022,"19.04","19.04","18.48","18.60","4,370,000"
09/14/2022,"18.28","19.20","18.20","19.20","7,704,600"
09/13/2022,"18.40","18.68","18.30","18.68","341,100"
09/12/2022,"18.72","18.88","18.56","18.70","3,541,100"
09/09/2022,"18.78","18.78","18.28","18.72","26,800"
09/08/2022,"18.32","18.88","18.02","18.80","1,008,800"
09/07/2022,"19.08","19.08","18.50","18.50","431,900"
09/06/2022,"18.96","19.10","18.60","19.10","377,100"
09/05/2022,"18.94","18.96","18.70","18.96","255,800"
09/02/2022,"18.30","18.96","18.24","18.96","291,500"
09/01/2022,"18.80","18.88","18.30","18.30","539,300"
08/31/2022,"19.20","19.20","18.80","18.80","575,000"
08/30/2022,"18.98","19.20","18.80","19.20","247,000"
08/26/2022,"19.10","19.20","19.00","19.20","392,200"
08/25/2022,"19.40","19.40","19.06","19.22","301,300"
08/24/2022,"19.72","19.72","19.20","19.32","461,900"
08/23/2022,"19.50","19.86","19.12","19.28","5,592,100"
08/22/2022,"19.62","19.62","19.32","19.50","937,900"
08/19/2022,"19.22","19.90","19.22","19.90","1,496,800"
08/18/2022,"19.60","19.60","19.04","19.50","2,544,300"
08/17/2022,"19.20","19.90","19.12","19.86","3,458,400"
08/16/2022,"19.00","19.30","18.90","19.30","2,484,100"
08/15/2022,"18.90","19.26","18.82","19.06","1,544,900"
08/12/2022,"19.20","19.40","18.70","18.80","5,433,900"
08/11/2022,"17.98","19.30","17.98","19.30","4,532,500"
08/10/2022,"17.80","17.92","17.36","17.74","691,500"
08/09/2022,"17.60","17.88","17.20","17.88","951,100"
08/08/2022,"17.02","17.70","16.90","17.70","5,079,500"
08/05/2022,"17.90","17.90","17.00","17.00","4,750,700"
08/04/2022,"17.62","17.90","17.50","17.90","541,000"
08/03/2022,"17.86","17.86","17.50","17.80","1,155,900"
08/02/2022,"16.80","17.90","16.80","17.90","3,293,000"
08/01/2022,"16.90","17.28","16.50","17.28","1,997,400"
07/29/2022,"17.00","17.10","16.82","17.00","1,374,600"
07/28/2022,"16.60","17.24","16.60","17.24","1,089,100"
07/27/2022,"16.60","16.74","16.52","16.60","359,300"
07/26/2022,"16.90","16.90","16.60","16.70","1,576,800"
07/25/2022,"16.96","16.96","16.66","16.90","239,300"
07/22/2022,"16.90","16.94","16.72","16.94","418,300"
07/21/2022,"16.90","17.00","16.66","16.96","1,030,300"
07/20/2022,"17.10","17.10","16.86","16.90","2,008,800"
07/19/2022,"16.88","17.00","16.44","17.00","604,500"
07/18/2022,"16.40","17.00","16.40","16.88","329,900"
07/15/2022,"16.80","16.80","16.24","16.40","2,275,700"
07/14/2022,"17.36","17.36","16.66","16.82","921,600"
07/13/2022,"17.14","17.44","16.62","17.44","1,221,800"
07/12/2022,"17.60","17.60","17.14","17.14","1,922,200"
07/11/2022,"17.80","17.80","17.70","17.72","232,800"
07/08/2022,"18.22","18.22","17.50","17.80","2,887,800"
07/07/2022,"17.98","18.70","17.18","18.28","1,765,500"
07/06/2022,"17.10","18.00","17.02","17.98","1,496,400"
07/05/2022,"16.82","17.28","16.82","17.28","166,700"
07/04/2022,"17.30","17.80","16.82","16.84","1,262,700"
07/01/2022,"17.30","17.50","17.00","17.30","258,100"
06/30/2022,"17.72","17.72","16.96","17.24","727,700"
06/29/2022,"17.28","17.74","16.90","17.74","362,400"
06/28/2022,"16.90","17.44","16.84","17.28","251,000"
06/27/2022,"17.30","17.30","16.80","16.84","5,308,900"
06/24/2022,"16.50","17.30","16.42","17.30","1,026,800"
06/23/2022,"16.34","17.10","16.24","16.50","913,200"
06/22/2022,"17.10","17.10","16.34","16.34","627,400"
06/21/2022,"17.30","17.38","17.00","17.00","468,200"
06/20/2022,"17.50","17.60","17.20","17.30","1,582,500"
06/17/2022,"17.50","17.50","17.10","17.10","885,300"
06/16/2022,"17.50","17.52","17.02","17.50","2,746,700"
06/15/2022,"17.70","17.90","17.40","17.50","252,100"
06/14/2022,"17.80","18.38","17.54","17.80","849,300"
06/13/2022,"18.28","18.28","17.80","17.80","1,547,600"
06/10/2022,"18.70","18.80","18.30","18.60","1,755,100"
06/09/2022,"19.12","19.14","18.76","18.90","1,617,500"
06/08/2022,"19.30","19.30","19.10","19.14","492,800"
06/07/2022,"19.30","19.32","19.20","19.30","418,200"
06/06/2022,"19.20","19.40","19.08","19.40","949,200"
06/03/2022,"19.20","19.26","19.08","19.08","751,300"
06/02/2022,"19.46","19.48","19.12","19.48","372,900"
06/01/2022,"19.40","19.46","19.04","19.46","973,200"
05/31/2022,"19.00","19.50","18.94","19.40","5,547,600"
05/30/2022,"18.78","19.00","18.76","19.00","2,143,700"
05/27/2022,"18.68","18.80","18.42","18.74","1,041,900"
05/26/2022,"18.46","18.68","18.40","18.68","425,400"
05/25/2022,"18.44","18.66","18.40","18.46","629,500"
05/24/2022,"18.78","18.78","18.44","18.44","526,000"
05/23/2022,"18.40","18.78","18.34","18.78","488,500"
05/20/2022,"18.48","18.80","18.34","18.70","768,800"
05/19/2022,"18.40","18.44","18.10","18.44","1,057,200"
05/18/2022,"18.18","18.94","18.10","18.48","1,336,300"
05/17/2022,"18.28","18.28","17.80","18.10","820,200"
05/16/2022,"18.00","18.30","17.94","18.10","724,900"
05/13/2022,"18.50","18.80","18.00","18.00","2,204,500"
05/12/2022,"18.70","18.90","18.28","18.54","5,163,600"
05/11/2022,"18.70","18.98","18.70","18.80","3,130,600"
05/10/2022,"19.00","19.00","18.60","18.70","2,315,800"
05/06/2022,"19.92","20.00","19.22","19.50","4,994,000"
05/05/2022,"19.20","19.94","19.16","19.94","3,824,200"
05/04/2022,"19.10","19.70","18.60","19.18","3,769,300"
05/02/2022,"19.02","19.12","18.60","19.10","675,000"
04/29/2022,"19.60","19.76","19.04","19.12","1,453,300"
04/28/2022,"19.60","19.82","19.58","19.78","398,500"
04/27/2022,"19.58","19.80","19.52","19.80","422,000"
04/26/2022,"19.90","19.90","19.52","19.82","3,821,700"
04/25/2022,"19.92","19.92","19.20","19.90","1,224,000"
04/22/2022,"19.78","19.96","19.72","19.96","457,200"
04/21/2022,"19.90","19.92","19.78","19.84","542,600"
04/20/2022,"19.90","19.98","19.82","19.90","3,430,600"
04/19/2022,"19.84","19.90","19.80","19.90","808,000"
04/18/2022,"20.00","20.00","19.84","19.90","233,500"
04/13/2022,"20.00","20.00","19.82","20.00","466,000"
04/12/2022,"19.80","20.15","19.50","20.00","2,834,300"
04/11/2022,"20.25","20.25","19.98","20.00","2,004,200"
04/08/2022,"19.80","20.25","19.72","20.25","3,840,200"
04/07/2022,"20.30","20.35","19.68","19.80","4,262,400"
04/06/2022,"20.40","20.40","20.05","20.35","499,600"
04/05/2022,"20.10","20.50","20.10","20.40","1,507,900"
04/04/2022,"20.30","20.30","20.00","20.10","600,100"
04/01/2022,"20.30","20.45","20.10","20.30","5,114,900"
03/31/2022,"20.20","20.90","20.20","20.50","1,570,000"
03/30/2022,"20.10","20.90","19.98","20.50","10,005,300"
03/29/2022,"20.00","20.10","19.92","20.00","2,331,400"
03/28/2022,"20.00","20.40","19.82","20.40","3,191,400"
03/25/2022,"20.15","20.20","19.84","20.00","2,582,500"
03/24/2022,"20.00","20.00","19.68","20.00","2,149,700"
03/23/2022,"20.40","20.40","19.80","20.00","1,022,200"
03/22/2022,"19.50","20.50","19.50","20.40","9,389,200"
03/21/2022,"19.60","19.70","19.42","19.46","4,596,000"
03/18/2022,"19.60","19.60","19.04","19.60","2,616,400"
03/17/2022,"19.50","19.70","19.44","19.60","1,535,700"
03/16/2022,"19.10","19.50","18.96","19.50","2,806,900"
03/15/2022,"18.72","19.10","18.20","19.10","2,691,100"
03/14/2022,"19.30","19.30","18.72","19.00","2,815,100"
03/11/2022,"19.50","19.52","19.14","19.50","3,420,300"
03/10/2022,"19.66","19.78","19.50","19.70","5,813,200"
03/09/2022,"18.80","19.70","18.54","19.66","5,935,500"
03/08/2022,"19.60","19.60","18.74","19.00","4,776,500"
03/07/2022,"19.86","19.90","18.60","19.90","5,407,700"
03/04/2022,"19.90","20.00","19.80","19.90","2,341,300"
03/03/2022,"19.98","20.00","19.62","20.00","3,883,700"
03/02/2022,"19.78","20.00","19.50","20.00","2,362,700"
03/01/2022,"19.22","19.88","19.22","19.88","5,969,500"
02/28/2022,"18.98","19.50","18.44","19.22","7,816,500"
02/24/2022,"19.08","19.20","18.30","19.00","2,232,300"
02/23/2022,"19.30","19.42","19.00","19.30","5,756,100"
02/22/2022,"19.38","19.42","18.90","19.30","6,945,000"
02/21/2022,"19.50","19.62","18.92","19.44","7,036,000"
02/18/2022,"18.94","19.54","18.90","19.50","26,748,699"
02/17/2022,"18.76","19.20","18.76","19.20","5,231,700"
02/16/2022,"18.20","18.84","18.20","18.70","4,813,200"
02/15/2022,"18.30","18.48","17.94","18.10","3,425,200"
02/14/2022,"18.12","18.74","18.10","18.30","1,950,700"
02/11/2022,"19.00","19.00","18.00","18.00","4,690,900"
02/10/2022,"18.88","19.20","18.88","19.00","1,322,300"
02/09/2022,"19.02","19.18","18.84","19.00","2,425,000"
02/08/2022,"19.08","19.08","18.78","18.84","1,930,200"
02/07/2022,"19.10","19.26","18.64","19.08","2,806,700"
02/04/2022,"19.00","19.10","18.84","19.10","2,371,000"
02/03/2022,"19.20","19.20","18.70","19.10","3,361,800"
02/02/2022,"18.40","19.22","18.40","19.20","5,252,700"
01/31/2022,"18.00","18.36","18.00","18.30","2,112,900"
01/28/2022,"18.24","18.58","17.80","17.94","7,123,900"
01/27/2022,"18.80","18.80","18.12","18.20","1,348,800"
01/26/2022,"18.74","18.84","18.28","18.80","1,129,300"
01/25/2022,"18.96","18.96","18.66","18.88","661,500"
01/24/2022,"18.74","18.96","18.70","18.96","678,400"
01/21/2022,"18.90","19.28","18.64","18.70","4,181,000"
01/20/2022,"19.26","19.26","18.90","19.00","3,147,100"
01/19/2022,"19.26","19.28","18.90","19.28","1,006,500"
01/18/2022,"19.20","19.28","19.12","19.28","3,144,500"
01/17/2022,"19.00","19.20","18.82","19.12","7,536,600"
01/14/2022,"19.18","19.18","18.74","19.08","1,037,300"
01/13/2022,"18.80","19.18","18.80","19.18","2,656,700"
01/12/2022,"18.30","18.70","18.26","18.70","2,290,000"
01/11/2022,"18.08","18.30","17.98","18.30","1,008,700"
01/10/2022,"17.96","18.06","17.82","18.06","908,700"
01/07/2022,"18.00","18.00","17.28","17.96","2,811,200"
01/06/2022,"17.80","18.04","17.70","17.98","5,787,100"
01/05/2022,"18.30","18.50","17.66","18.00","3,753,400"
01/03/2022,"18.62","18.62","18.18","18.50","1,535,400"
