Date,Open,High,Low,Close,Volume
12/29/2023,"1.370","1.410","1.370","1.410","21,000"
12/28/2023,"1.360","1.400","1.360","1.380","2,263,000"
12/27/2023,"1.360","1.410","1.350","1.350","19,000"
12/22/2023,"1.340","1.400","1.340","1.360","45,000"
12/21/2023,"1.400","1.400","1.330","1.330","129,000"
12/20/2023,"1.430","1.440","1.430","1.440","34,000"
12/19/2023,"1.390","1.440","1.370","1.440","142,000"
12/18/2023,"1.350","1.350","1.350","1.350","18,000"
12/15/2023,"1.400","1.400","1.350","1.350","206,000"
12/14/2023,"1.350","1.370","1.350","1.360","13,000"
12/13/2023,"1.330","1.350","1.330","1.350","776,000"
12/12/2023,"1.330","1.330","1.330","1.330","2,000"
12/11/2023,"1.350","1.370","1.350","1.370","63,000"
12/07/2023,"1.390","1.390","1.380","1.380","4,000"
12/06/2023,"1.390","1.390","1.350","1.380","39,000"
12/05/2023,"1.410","1.410","1.410","1.410","1,000"
12/04/2023,"1.350","1.370","1.350","1.350","9,000"
12/01/2023,"1.360","1.360","1.350","1.350","135,000"
11/29/2023,"1.350","1.380","1.350","1.350","3,000"
11/28/2023,"1.420","1.420","1.360","1.360","27,000"
11/23/2023,"1.350","1.350","1.350","1.350","1,000"
11/22/2023,"1.350","1.350","1.350","1.350","2,000"
11/21/2023,"1.350","1.350","1.350","1.350","2,000"
11/20/2023,"1.350","1.350","1.350","1.350","5,000"
11/17/2023,"1.410","1.410","1.350","1.350","8,000"
11/16/2023,"1.340","1.340","1.340","1.340","9,000"
11/15/2023,"1.430","1.430","1.350","1.350","5,000"
11/14/2023,"1.350","1.360","1.350","1.350","19,000"
11/10/2023,"1.430","1.430","1.420","1.430","121,000"
11/09/2023,"1.330","1.430","1.330","1.430","161,000"
11/08/2023,"1.330","1.330","1.320","1.320","6,000"
11/07/2023,"1.300","1.330","1.300","1.310","6,000"
11/06/2023,"1.320","1.410","1.300","1.300","194,000"
11/03/2023,"1.330","1.330","1.320","1.320","22,000"
10/31/2023,"1.320","1.320","1.320","1.320","4,000"
10/27/2023,"1.340","1.340","1.310","1.340","38,000"
10/26/2023,"1.340","1.340","1.340","1.340","149,000"
10/25/2023,"1.340","1.410","1.340","1.350","3,000"
10/24/2023,"1.350","1.430","1.350","1.430","21,000"
10/23/2023,"1.360","1.360","1.330","1.350","48,000"
10/20/2023,"1.380","1.380","1.350","1.370","512,000"
10/19/2023,"1.380","1.380","1.380","1.380","32,000"
10/18/2023,"1.380","1.380","1.380","1.380","12,000"
10/17/2023,"1.350","1.400","1.350","1.400","12,000"
10/16/2023,"1.470","1.470","1.410","1.410","7,000"
10/12/2023,"1.430","1.430","1.420","1.420","14,000"
10/11/2023,"1.410","1.430","1.410","1.430","41,000"
10/10/2023,"1.460","1.470","1.390","1.390","34,000"
10/09/2023,"1.460","1.460","1.460","1.460","13,000"
10/06/2023,"1.390","1.460","1.380","1.460","301,000"
10/05/2023,"1.470","1.470","1.450","1.460","19,000"
10/04/2023,"1.430","1.450","1.430","1.450","31,000"
