Date,Open,High,Low,Close,Volume
12/27/2024,"36.70","36.75","35.65","36.00","226,600"
12/26/2024,"36.60","37.30","36.40","36.70","110,700"
12/23/2024,"36.70","36.70","35.15","36.50","647,700"
12/20/2024,"35.00","36.75","35.00","36.70","750,000"
12/19/2024,"35.80","36.30","34.70","35.00","403,900"
12/18/2024,"35.80","36.00","35.10","35.80","1,254,200"
12/17/2024,"35.35","35.90","35.00","35.80","832,600"
12/16/2024,"35.95","35.95","35.10","35.35","170,000"
12/13/2024,"35.70","35.95","35.00","35.05","563,800"
12/12/2024,"36.20","36.20","35.40","35.40","194,500"
12/11/2024,"35.95","36.55","35.70","35.70","101,600"
12/10/2024,"35.90","36.05","35.85","35.85","377,900"
12/09/2024,"36.10","36.95","35.85","35.95","174,400"
12/06/2024,"35.90","36.45","35.80","36.00","96,600"
12/05/2024,"35.90","36.50","35.90","35.90","477,900"
12/04/2024,"36.30","36.75","35.80","35.90","363,000"
12/03/2024,"36.40","36.85","36.00","36.30","536,100"
12/02/2024,"35.80","36.50","35.80","36.40","82,100"
11/29/2024,"36.00","36.30","35.65","35.80","235,400"
11/28/2024,"36.15","36.55","35.75","35.80","248,800"
11/27/2024,"36.50","36.60","36.15","36.20","285,900"
11/26/2024,"36.00","37.00","36.00","36.40","162,400"
11/25/2024,"36.80","37.30","35.90","35.90","901,900"
11/22/2024,"36.90","37.20","36.50","36.70","85,700"
11/21/2024,"36.50","37.15","36.30","36.50","259,300"
11/20/2024,"37.70","37.70","36.20","36.50","155,900"
11/19/2024,"37.00","37.60","37.00","37.40","198,200"
11/18/2024,"37.30","37.65","36.85","37.00","254,400"
11/15/2024,"37.10","37.30","36.70","37.30","211,800"
11/14/2024,"37.10","37.50","36.00","36.50","593,600"
11/13/2024,"37.90","37.90","36.60","37.30","218,000"
11/12/2024,"37.70","37.75","37.35","37.50","136,900"
11/11/2024,"36.70","37.60","36.70","37.60","127,300"
11/08/2024,"36.80","36.95","36.60","36.70","434,500"
11/07/2024,"37.75","38.15","36.00","36.80","810,000"
11/06/2024,"38.50","38.50","37.50","37.80","417,500"
11/05/2024,"38.40","38.45","38.25","38.40","289,300"
11/04/2024,"39.00","39.00","38.30","38.30","297,600"
10/31/2024,"38.40","39.90","38.40","39.00","134,500"
10/30/2024,"38.75","39.80","38.40","38.45","291,300"
10/29/2024,"39.65","39.65","38.45","38.75","620,000"
10/28/2024,"39.45","39.60","39.35","39.60","157,300"
10/25/2024,"39.15","40.25","39.15","39.40","119,200"
10/24/2024,"39.70","39.85","39.00","39.10","452,400"
10/23/2024,"40.20","40.40","39.65","39.65","450,900"
10/22/2024,"40.70","40.70","40.00","40.15","175,500"
10/21/2024,"41.10","41.10","40.00","40.00","407,100"
10/18/2024,"40.45","40.50","39.95","40.00","438,500"
10/17/2024,"41.20","41.20","40.40","40.40","359,800"
10/16/2024,"40.30","41.00","40.20","40.80","312,300"
10/15/2024,"40.50","40.80","40.20","40.80","108,300"
10/14/2024,"40.20","40.50","40.00","40.50","201,400"
10/11/2024,"41.20","41.20","39.85","40.10","361,000"
10/10/2024,"41.20","41.20","40.50","41.20","150,200"
10/09/2024,"41.40","41.60","40.90","41.20","279,500"
10/08/2024,"41.25","41.40","41.00","41.35","466,900"
10/07/2024,"40.50","41.35","40.50","41.25","744,500"
10/04/2024,"40.00","40.70","40.00","40.40","177,900"
10/03/2024,"40.10","40.10","39.80","39.85","291,300"
10/02/2024,"39.80","40.80","39.50","40.10","234,600"
10/01/2024,"40.20","40.50","40.00","40.00","277,900"
09/30/2024,"40.65","40.85","40.10","40.20","157,100"
09/27/2024,"40.50","40.85","40.25","40.55","320,700"
09/26/2024,"40.10","40.50","40.05","40.20","158,800"
09/25/2024,"40.10","40.50","39.80","40.00","469,300"
09/24/2024,"40.50","40.60","39.95","40.00","1,211,400"
09/23/2024,"40.00","40.75","39.80","40.50","1,527,500"
09/20/2024,"38.90","40.50","38.90","39.80","1,063,000"
09/19/2024,"38.65","39.20","38.60","38.90","1,200,000"
09/18/2024,"39.00","39.50","38.50","38.60","1,189,100"
09/17/2024,"39.20","39.45","38.95","38.95","731,200"
09/16/2024,"39.50","39.70","38.80","38.80","241,100"
09/13/2024,"39.20","39.80","39.20","39.40","816,200"
09/12/2024,"38.50","39.20","38.15","39.10","557,000"
09/11/2024,"38.80","39.30","38.05","38.15","609,000"
09/10/2024,"38.70","39.00","38.45","38.80","581,300"
09/09/2024,"38.60","38.75","37.55","37.85","430,300"
09/06/2024,"38.75","38.80","38.40","38.60","454,600"
09/05/2024,"37.55","38.10","37.55","37.85","82,900"
09/04/2024,"38.75","38.75","37.50","37.55","551,300"
09/03/2024,"38.80","39.20","38.25","38.30","455,600"
09/02/2024,"38.40","38.95","37.95","38.70","483,400"
08/30/2024,"37.40","38.40","37.40","38.40","1,220,600"
08/29/2024,"37.85","37.85","37.10","37.40","108,500"
08/28/2024,"37.95","38.30","37.05","37.05","1,125,600"
08/27/2024,"37.05","38.00","37.05","37.85","1,575,800"
08/22/2024,"37.10","37.50","36.90","37.05","85,100"
08/21/2024,"37.00","37.20","36.90","37.00","380,700"
08/20/2024,"36.30","37.30","36.30","37.00","659,100"
08/19/2024,"36.00","36.75","36.00","36.30","332,300"
08/16/2024,"36.30","36.60","36.30","36.50","117,500"
08/15/2024,"36.30","36.85","35.95","36.30","185,700"
08/14/2024,"36.00","36.30","35.95","36.25","60,200"
08/13/2024,"35.70","36.20","35.50","36.00","86,900"
08/12/2024,"35.75","35.75","35.10","35.40","355,200"
08/09/2024,"35.40","35.95","35.05","35.70","632,200"
08/08/2024,"36.45","36.45","35.30","35.40","526,300"
08/07/2024,"35.55","35.65","35.40","35.55","145,000"
08/06/2024,"35.90","35.90","35.30","35.55","304,900"
08/05/2024,"35.95","36.20","35.55","35.95","278,700"
08/02/2024,"36.45","36.45","35.95","36.00","182,000"
08/01/2024,"36.85","37.00","36.10","36.20","326,600"
07/31/2024,"36.00","37.00","35.80","36.00","659,200"
07/30/2024,"36.40","36.95","35.90","36.00","82,800"
07/29/2024,"36.20","36.40","35.75","36.40","22,500"
07/26/2024,"36.50","36.50","36.10","36.20","44,000"
07/25/2024,"36.10","36.35","35.90","36.10","171,100"
07/23/2024,"36.20","36.50","36.15","36.15","186,800"
07/22/2024,"36.90","37.00","36.25","36.50","207,800"
07/19/2024,"36.90","37.05","36.40","36.90","246,700"
07/18/2024,"36.55","36.80","36.20","36.50","150,000"
07/17/2024,"36.45","36.70","36.40","36.55","88,700"
07/16/2024,"36.70","37.00","36.15","36.45","383,700"
07/15/2024,"36.10","36.70","36.10","36.70","255,200"
07/12/2024,"35.50","36.15","35.30","36.00","213,000"
07/11/2024,"35.45","35.70","35.35","35.50","80,700"
07/10/2024,"35.30","35.35","35.10","35.15","168,800"
07/09/2024,"35.10","35.35","35.10","35.30","68,800"
07/08/2024,"35.10","35.35","34.90","35.10","1,034,300"
07/05/2024,"35.00","35.45","34.95","35.00","105,200"
07/04/2024,"35.20","35.80","34.60","35.00","478,900"
07/03/2024,"35.05","35.45","34.60","35.10","1,488,500"
07/02/2024,"35.20","35.30","34.75","35.05","604,500"
07/01/2024,"35.80","35.80","34.85","35.50","373,400"
06/28/2024,"35.40","35.80","35.05","35.05","1,092,800"
06/27/2024,"36.00","36.00","34.95","35.40","1,299,400"
06/26/2024,"36.15","36.15","35.00","35.40","1,299,400"
06/25/2024,"35.80","36.00","35.60","35.65","844,100"
06/24/2024,"36.00","36.15","35.70","36.05","531,800"
06/21/2024,"36.00","36.20","35.75","35.95","455,100"
06/20/2024,"36.00","36.10","35.85","35.90","113,900"
06/19/2024,"36.00","36.15","35.55","35.85","360,800"
06/18/2024,"35.75","35.95","35.60","35.65","162,600"
06/14/2024,"36.10","36.15","35.65","35.90","646,700"
06/13/2024,"35.95","36.55","35.90","36.00","335,600"
06/11/2024,"36.90","36.90","35.85","35.95","349,100"
06/10/2024,"36.20","36.45","36.00","36.15","194,900"
06/07/2024,"36.25","37.00","36.25","36.75","201,600"
06/06/2024,"36.25","37.75","35.90","36.20","464,800"
06/05/2024,"36.25","36.25","36.05","36.15","130,600"
06/04/2024,"37.00","37.00","36.05","36.25","206,900"
06/03/2024,"37.90","38.05","36.90","37.00","611,000"
05/31/2024,"35.85","39.05","35.75","39.05","2,151,800"
05/30/2024,"35.55","35.95","35.10","35.15","169,500"
05/29/2024,"35.95","36.00","35.55","35.75","148,000"
05/28/2024,"36.80","36.80","35.50","35.95","329,000"
05/27/2024,"36.80","36.80","36.00","36.20","306,500"
05/24/2024,"37.40","37.40","36.25","36.80","247,200"
05/23/2024,"38.25","38.80","38.15","38.20","524,200"
05/22/2024,"39.00","39.00","38.25","38.25","478,200"
05/21/2024,"39.00","39.00","38.45","38.60","315,900"
05/20/2024,"38.85","39.15","38.60","38.60","392,100"
05/17/2024,"38.90","39.20","38.45","38.60","412,200"
05/16/2024,"38.50","39.35","38.50","38.85","292,500"
05/15/2024,"38.10","38.45","38.00","38.35","193,800"
05/14/2024,"38.00","38.95","38.00","38.10","394,600"
05/13/2024,"38.40","38.50","37.90","38.00","893,300"
05/10/2024,"37.65","38.50","37.65","38.00","447,300"
05/09/2024,"37.50","38.00","36.90","37.50","329,000"
05/08/2024,"36.80","37.20","36.00","36.75","84,800"
05/07/2024,"37.00","37.70","36.15","36.60","414,500"
05/06/2024,"36.30","37.15","36.30","36.95","470,400"
05/03/2024,"36.60","36.60","35.70","35.90","232,300"
05/02/2024,"35.95","36.95","35.40","35.90","230,100"
04/30/2024,"36.20","36.20","35.75","35.95","479,400"
04/29/2024,"36.30","37.00","35.80","36.20","722,100"
04/26/2024,"36.05","36.05","35.50","36.00","303,600"
04/25/2024,"36.00","36.30","35.70","35.95","33,300"
04/24/2024,"36.00","36.25","35.95","36.05","67,400"
04/23/2024,"35.25","35.65","35.20","35.65","56,200"
04/22/2024,"35.05","35.95","35.05","35.20","239,600"
04/19/2024,"36.30","36.30","35.10","35.10","214,100"
04/18/2024,"35.90","36.15","35.25","35.30","391,400"
04/17/2024,"36.00","36.00","35.50","35.60","191,600"
04/16/2024,"36.60","36.60","36.00","36.00","200,900"
04/15/2024,"37.00","37.00","36.05","36.75","226,000"
04/12/2024,"37.25","37.25","36.80","37.00","64,800"
04/11/2024,"37.30","37.45","36.95","37.05","124,700"
04/08/2024,"37.50","37.50","36.95","37.25","21,300"
04/05/2024,"37.50","37.50","36.90","36.95","61,600"
04/04/2024,"37.30","37.70","36.70","37.45","169,000"
04/03/2024,"37.60","37.60","36.60","37.30","270,000"
04/02/2024,"37.50","37.70","37.50","37.55","109,400"
04/01/2024,"37.35","37.50","37.10","37.45","52,800"
03/27/2024,"37.20","37.50","37.10","37.35","93,900"
03/26/2024,"37.10","37.40","37.00","37.40","174,900"
03/25/2024,"36.70","37.25","36.60","37.15","82,700"
03/22/2024,"36.70","36.70","36.65","36.70","72,000"
03/21/2024,"36.70","36.70","36.50","36.60","104,900"
03/20/2024,"37.30","37.30","36.55","36.70","665,100"
03/19/2024,"37.30","37.40","37.05","37.30","189,200"
03/18/2024,"37.20","37.50","37.15","37.25","47,200"
03/15/2024,"37.45","37.50","37.00","37.10","461,500"
03/14/2024,"37.40","37.60","37.25","37.45","199,500"
03/13/2024,"37.40","37.40","37.15","37.25","112,400"
03/12/2024,"37.65","37.65","37.00","37.35","336,500"
03/11/2024,"37.00","37.70","37.00","37.65","140,300"
03/08/2024,"37.25","37.25","36.80","37.00","146,300"
03/07/2024,"37.20","37.50","36.90","37.15","280,100"
03/06/2024,"37.30","37.30","37.20","37.25","46,700"
03/05/2024,"37.30","37.45","37.10","37.15","91,900"
03/04/2024,"37.60","37.60","37.25","37.30","247,600"
03/01/2024,"37.50","37.70","37.50","37.55","177,100"
02/29/2024,"37.10","37.50","37.05","37.50","242,700"
02/28/2024,"37.40","37.40","36.50","37.10","626,100"
02/27/2024,"37.70","37.70","36.50","36.50","569,900"
02/26/2024,"37.50","37.75","37.35","37.70","160,000"
02/23/2024,"37.30","37.50","37.20","37.50","170,800"
02/22/2024,"37.00","37.00","36.90","37.00","132,800"
02/21/2024,"37.00","37.05","36.60","36.95","250,900"
02/20/2024,"36.50","37.00","36.30","36.50","595,900"
02/19/2024,"37.00","37.40","36.50","36.50","62,800"
