Date,Open,High,Low,Close,Volume
12/31/2021,"21.90","22.00","21.20","21.35","140,200"
12/29/2021,"21.90","22.20","21.50","21.80","1,564,400"
12/28/2021,"21.50","21.65","21.20","21.55","334,800"
12/27/2021,"21.70","21.70","21.15","21.50","154,000"
12/24/2021,"21.85","21.90","21.30","21.70","102,700"
12/23/2021,"20.95","21.85","20.95","21.85","591,900"
12/22/2021,"20.65","21.05","20.65","20.90","313,800"
12/21/2021,"21.10","21.35","20.60","20.60","1,330,600"
12/20/2021,"21.15","21.70","21.00","21.00","941,600"
12/17/2021,"21.25","21.80","21.00","21.00","1,514,100"
12/16/2021,"21.25","21.85","21.10","21.25","1,079,300"
12/15/2021,"21.65","21.80","21.20","21.25","1,018,200"
12/14/2021,"21.70","21.95","21.60","21.90","457,900"
12/13/2021,"21.50","22.45","21.50","21.70","433,600"
12/10/2021,"21.70","22.20","21.35","21.40","879,200"
12/09/2021,"21.75","22.20","21.70","21.70","489,000"
12/07/2021,"22.35","23.00","21.55","21.55","1,334,900"
12/06/2021,"22.50","22.70","22.25","22.35","339,700"
12/03/2021,"23.50","23.50","22.00","22.45","2,082,000"
12/02/2021,"23.00","23.45","22.60","23.40","1,115,700"
12/01/2021,"22.20","23.75","22.20","23.10","3,396,800"
11/29/2021,"22.60","22.85","21.55","22.85","2,603,900"
11/26/2021,"23.00","23.40","22.50","23.00","1,404,900"
11/25/2021,"23.00","23.15","22.60","23.00","889,900"
11/24/2021,"23.00","23.65","22.95","23.05","1,987,100"
11/23/2021,"22.00","23.00","21.90","23.00","1,977,400"
11/22/2021,"22.70","22.75","22.00","22.00","1,061,300"
11/19/2021,"23.50","23.50","22.10","22.20","1,279,200"
11/18/2021,"23.85","23.85","22.90","23.30","1,148,500"
11/17/2021,"22.70","24.00","22.55","24.00","3,950,200"
11/16/2021,"21.15","22.70","21.10","22.40","2,432,600"
11/15/2021,"22.10","22.15","20.65","21.10","6,468,700"
11/12/2021,"23.50","23.70","21.80","22.10","6,014,100"
11/11/2021,"23.80","24.05","23.10","23.40","4,465,200"
11/10/2021,"23.90","24.45","23.70","23.90","2,290,800"
11/09/2021,"23.90","24.25","23.55","23.90","2,981,200"
11/08/2021,"24.00","24.00","23.40","23.90","2,510,500"
11/05/2021,"24.35","24.50","23.80","24.25","2,350,300"
11/04/2021,"24.00","24.45","23.45","24.35","1,946,000"
11/03/2021,"23.95","24.75","23.15","24.00","3,969,100"
11/02/2021,"23.90","24.45","23.00","24.00","13,335,000"
10/29/2021,"26.05","26.50","25.10","26.00","5,225,800"
10/28/2021,"28.60","28.60","26.00","26.05","11,220,400"
10/27/2021,"28.05","29.10","27.90","28.95","5,073,100"
10/26/2021,"27.50","28.30","27.50","28.05","1,809,200"
10/25/2021,"27.50","28.50","27.50","27.50","1,377,000"
10/22/2021,"28.25","28.25","27.50","27.50","1,898,200"
10/21/2021,"27.25","28.35","26.60","28.25","15,504,800"
10/20/2021,"27.80","28.60","26.75","27.40","9,149,700"
10/19/2021,"29.70","29.70","29.00","29.25","9,408,000"
10/18/2021,"30.00","30.60","29.50","29.80","6,091,500"
10/15/2021,"29.50","30.80","29.35","30.10","9,298,400"
10/14/2021,"30.40","30.50","29.10","29.50","7,497,500"
10/13/2021,"28.55","30.50","28.55","30.50","12,881,200"
10/12/2021,"26.50","28.35","26.40","28.00","15,699,100"
10/11/2021,"24.90","26.10","24.80","25.45","4,761,300"
10/08/2021,"24.60","25.50","24.50","24.90","3,515,200"
10/07/2021,"24.50","24.60","23.75","24.20","5,507,800"
10/06/2021,"24.30","25.70","24.30","25.00","7,154,600"
10/05/2021,"23.95","24.65","23.65","23.80","9,226,900"
10/04/2021,"22.70","24.60","22.70","23.95","10,376,500"
10/01/2021,"21.20","22.90","21.20","22.30","7,751,400"
