Date,Open,High,Low,Close,Volume
12/31/2021,"1.080","1.080","1.080","1.080","4,000"
12/23/2021,"1.150","1.150","1.150","1.150","18,000"
12/22/2021,"1.050","1.150","1.050","1.150","9,000"
12/21/2021,"1.060","1.150","1.050","1.150","200,000"
12/20/2021,"1.170","1.170","1.060","1.060","135,000"
12/17/2021,"1.110","1.170","1.110","1.170","101,000"
12/15/2021,"1.180","1.180","1.180","1.180","1,000"
12/14/2021,"1.190","1.190","1.110","1.110","3,000"
12/13/2021,"1.110","1.120","1.110","1.120","3,000"
12/10/2021,"1.170","1.190","1.170","1.190","118,000"
12/06/2021,"1.170","1.170","1.170","1.170","1,000"
12/02/2021,"1.110","1.110","1.110","1.110","1,000"
12/01/2021,"1.110","1.110","1.110","1.110","11,000"
11/24/2021,"1.130","1.200","1.110","1.190","132,000"
11/23/2021,"1.150","1.150","1.130","1.150","103,000"
11/19/2021,"1.160","1.160","1.160","1.160","200,000"
11/18/2021,"1.190","1.190","1.190","1.190","43,000"
11/17/2021,"1.200","1.200","1.200","1.200","1,000"
11/16/2021,"1.190","1.190","1.150","1.150","123,000"
11/15/2021,"1.200","1.210","1.200","1.200","222,000"
11/12/2021,"1.190","1.190","1.190","1.190","134,000"
11/10/2021,"1.190","1.190","1.190","1.190","66,000"
11/08/2021,"1.150","1.200","1.150","1.200","62,000"
11/05/2021,"1.200","1.200","1.200","1.200","1,000"
11/04/2021,"1.150","1.200","1.150","1.200","175,000"
11/03/2021,"1.170","1.170","1.160","1.160","30,000"
11/02/2021,"1.200","1.200","1.200","1.200","2,000"
10/28/2021,"1.150","1.200","1.150","1.200","14,000"
10/27/2021,"1.170","1.170","1.150","1.150","300,000"
10/26/2021,"1.210","1.210","1.180","1.180","63,000"
10/25/2021,"1.200","1.210","1.200","1.210","72,000"
10/22/2021,"1.170","1.190","1.150","1.150","336,000"
10/20/2021,"1.190","1.190","1.190","1.190","17,000"
10/15/2021,"1.160","1.190","1.160","1.190","207,000"
10/14/2021,"1.190","1.200","1.190","1.200","39,000"
10/13/2021,"1.190","1.190","1.160","1.160","94,000"
10/12/2021,"1.200","1.200","1.200","1.200","22,000"
10/11/2021,"1.200","1.200","1.200","1.200","23,000"
10/07/2021,"1.200","1.200","1.200","1.200","2,000"
10/06/2021,"1.160","1.160","1.160","1.160","220,000"
10/05/2021,"1.160","1.160","1.160","1.160","203,000"
10/04/2021,"1.160","1.160","1.150","1.150","101,000"
10/01/2021,"1.170","1.170","1.160","1.160","57,000"
09/30/2021,"1.210","1.210","1.180","1.180","5,000"
09/29/2021,"1.170","1.170","1.170","1.170","10,000"
09/28/2021,"1.210","1.210","1.210","1.210","69,000"
09/23/2021,"1.170","1.170","1.170","1.170","1,000"
09/17/2021,"1.220","1.230","1.180","1.230","168,000"
09/16/2021,"1.180","1.230","1.180","1.230","135,000"
09/15/2021,"1.160","1.160","1.160","1.160","2,000"
09/14/2021,"1.160","1.180","1.160","1.180","77,000"
09/13/2021,"1.180","1.180","1.170","1.170","57,000"
09/10/2021,"1.170","1.180","1.170","1.180","55,000"
09/09/2021,"1.180","1.180","1.180","1.180","2,000"
09/08/2021,"1.200","1.200","1.190","1.190","127,000"
09/06/2021,"1.170","1.180","1.160","1.180","26,000"
09/03/2021,"1.180","1.180","1.180","1.180","62,000"
09/02/2021,"1.190","1.190","1.190","1.190","3,000"
09/01/2021,"1.190","1.190","1.190","1.190","1,000"
08/31/2021,"1.220","1.220","1.220","1.220","1,000"
08/26/2021,"1.220","1.220","1.220","1.220","34,000"
08/19/2021,"1.170","1.220","1.170","1.220","12,000"
08/16/2021,"1.170","1.170","1.170","1.170","2,000"
08/12/2021,"1.150","1.150","1.150","1.150","156,000"
08/10/2021,"1.150","1.150","1.130","1.130","4,000"
08/09/2021,"1.150","1.150","1.100","1.100","616,000"
08/06/2021,"1.150","1.150","1.150","1.150","56,000"
08/04/2021,"1.180","1.180","1.140","1.140","149,000"
08/02/2021,"1.220","1.220","1.220","1.220","21,000"
07/30/2021,"1.180","1.180","1.180","1.180","54,000"
07/29/2021,"1.220","1.220","1.180","1.180","145,000"
07/28/2021,"1.230","1.230","1.210","1.220","81,000"
07/27/2021,"1.230","1.230","1.160","1.160","33,000"
07/26/2021,"1.250","1.250","1.180","1.230","224,000"
07/23/2021,"1.180","1.180","1.170","1.170","37,000"
07/22/2021,"1.170","1.170","1.170","1.170","12,000"
07/21/2021,"1.190","1.200","1.170","1.170","51,000"
07/19/2021,"1.210","1.210","1.170","1.170","109,000"
07/15/2021,"1.220","1.220","1.220","1.220","20,000"
07/13/2021,"1.220","1.220","1.210","1.210","115,000"
07/12/2021,"1.260","1.260","1.210","1.210","486,000"
07/09/2021,"1.290","1.290","1.290","1.290","17,000"
07/08/2021,"1.290","1.290","1.290","1.290","40,000"
07/07/2021,"1.290","1.300","1.290","1.300","32,000"
07/06/2021,"1.260","1.290","1.260","1.290","8,000"
07/05/2021,"1.260","1.260","1.260","1.260","13,000"
07/02/2021,"1.260","1.260","1.250","1.260","590,000"
07/01/2021,"1.260","1.300","1.260","1.300","58,000"
06/30/2021,"1.250","1.250","1.250","1.250","10,000"
06/29/2021,"1.290","1.290","1.290","1.290","9,000"
06/28/2021,"1.290","1.290","1.230","1.250","102,000"
06/25/2021,"1.270","1.270","1.270","1.270","34,000"
06/24/2021,"1.290","1.300","1.270","1.270","77,000"
06/23/2021,"1.230","1.300","1.230","1.280","317,000"
06/22/2021,"1.220","1.230","1.220","1.230","22,000"
