Date,Open,High,Low,Close,Volume
12/29/2020,"20.50","20.80","20.30","20.65","402,800"
12/28/2020,"20.50","20.50","20.10","20.25","497,500"
12/23/2020,"20.70","20.80","20.05","20.80","425,500"
12/22/2020,"21.30","21.30","20.05","20.80","1,187,700"
12/21/2020,"21.55","21.60","21.30","21.30","602,200"
12/18/2020,"22.35","22.80","21.30","21.50","1,057,500"
12/17/2020,"22.35","22.95","22.30","22.35","738,400"
12/16/2020,"22.40","22.55","22.30","22.35","1,203,200"
12/15/2020,"22.45","22.70","22.10","22.65","664,900"
12/14/2020,"22.80","22.85","22.10","22.45","1,376,900"
12/11/2020,"23.10","23.10","22.60","22.80","1,420,200"
12/10/2020,"23.05","23.15","22.50","22.95","783,000"
12/09/2020,"22.30","23.30","22.30","23.00","3,143,600"
12/07/2020,"21.30","22.55","21.30","22.25","1,861,300"
12/04/2020,"21.20","21.60","21.05","21.30","10,980,300"
12/03/2020,"21.30","21.50","20.00","21.15","687,200"
12/02/2020,"21.00","21.70","21.00","21.30","1,474,500"
12/01/2020,"19.98","21.35","19.98","20.80","5,093,800"
11/27/2020,"19.60","19.86","19.60","19.76","4,965,800"
11/26/2020,"19.80","20.10","19.04","19.36","2,813,900"
11/25/2020,"18.76","19.76","18.70","19.60","3,653,000"
11/24/2020,"18.78","18.80","18.54","18.54","2,567,900"
11/23/2020,"18.16","18.70","18.00","18.34","3,346,700"
11/20/2020,"17.78","18.28","17.68","17.94","8,260,100"
11/19/2020,"17.90","18.00","17.60","17.84","2,489,800"
11/18/2020,"17.60","18.04","17.60","17.90","4,388,600"
11/17/2020,"16.84","17.50","16.84","17.40","1,334,600"
11/16/2020,"16.60","16.92","16.54","16.80","583,400"
11/13/2020,"16.64","16.64","16.42","16.52","4,582,400"
11/11/2020,"16.80","16.80","16.50","16.70","842,400"
11/10/2020,"16.60","16.88","16.38","16.78","1,019,900"
11/09/2020,"16.40","16.40","16.20","16.28","632,300"
11/06/2020,"16.40","16.40","16.06","16.20","658,900"
11/05/2020,"16.04","16.32","16.02","16.30","685,000"
11/04/2020,"16.30","16.30","16.04","16.08","385,400"
11/03/2020,"16.60","16.60","16.18","16.24","454,600"
10/30/2020,"16.50","16.50","16.40","16.48","150,400"
10/29/2020,"16.94","16.94","16.50","16.50","380,100"
10/28/2020,"16.64","16.96","16.64","16.92","568,800"
10/27/2020,"16.60","16.68","16.54","16.60","272,600"
10/26/2020,"16.48","16.80","16.46","16.52","543,800"
10/23/2020,"16.22","16.52","16.22","16.46","4,639,400"
10/22/2020,"16.40","16.50","16.20","16.22","7,610,200"
10/21/2020,"16.30","16.50","16.30","16.40","1,730,200"
10/20/2020,"16.36","16.36","16.22","16.24","432,900"
10/19/2020,"16.10","16.34","16.10","16.20","763,500"
10/16/2020,"15.98","16.16","15.98","16.10","189,400"
10/15/2020,"16.00","16.02","15.84","15.98","558,100"
10/14/2020,"15.52","16.00","15.40","16.00","288,400"
10/13/2020,"15.80","15.80","15.42","15.52","181,700"
