Date,Open,High,Low,Close,Volume
12/27/2024,"3.890","3.940","3.850","3.940","34,000"
12/26/2024,"3.890","3.920","3.890","3.900","32,000"
12/23/2024,"3.890","3.910","3.890","3.910","24,000"
12/20/2024,"3.880","3.910","3.840","3.850","45,000"
12/19/2024,"3.900","3.900","3.840","3.880","309,000"
12/18/2024,"3.940","3.940","3.890","3.900","22,000"
12/17/2024,"3.880","3.950","3.880","3.930","16,000"
12/16/2024,"3.920","3.950","3.880","3.880","40,000"
12/13/2024,"3.950","3.960","3.880","3.900","37,000"
12/12/2024,"3.870","3.960","3.870","3.950","6,000"
12/11/2024,"3.870","3.960","3.870","3.950","67,000"
12/10/2024,"3.900","3.930","3.870","3.900","67,000"
12/09/2024,"3.940","3.940","3.930","3.930","15,000"
12/06/2024,"3.950","3.950","3.850","3.940","18,000"
12/05/2024,"3.950","3.950","3.900","3.900","20,000"
12/04/2024,"3.930","3.950","3.930","3.950","59,000"
12/03/2024,"3.900","3.900","3.880","3.880","54,000"
12/02/2024,"3.850","3.940","3.850","3.940","52,000"
11/29/2024,"3.900","3.900","3.850","3.890","12,000"
11/28/2024,"3.870","3.870","3.800","3.850","670,000"
11/27/2024,"3.940","3.940","3.900","3.900","2,000"
11/26/2024,"3.900","3.940","3.900","3.940","10,000"
11/25/2024,"3.900","3.950","3.900","3.950","45,000"
11/22/2024,"3.920","3.920","3.910","3.920","115,000"
11/21/2024,"3.970","3.980","3.870","3.910","58,000"
11/20/2024,"3.920","3.970","3.860","3.960","139,000"
11/19/2024,"3.950","3.950","3.950","3.950","2,000"
11/18/2024,"3.900","3.950","3.890","3.950","61,000"
11/15/2024,"3.830","3.970","3.820","3.880","49,000"
11/14/2024,"3.930","3.950","3.820","3.820","50,000"
11/13/2024,"3.820","3.940","3.820","3.930","25,000"
11/12/2024,"3.900","3.930","3.820","3.820","91,000"
11/11/2024,"3.830","3.900","3.830","3.900","24,000"
11/08/2024,"3.860","3.920","3.820","3.860","32,000"
11/07/2024,"3.940","3.940","3.820","3.820","193,000"
11/06/2024,"3.900","3.950","3.900","3.900","26,000"
11/05/2024,"3.900","3.950","3.900","3.900","68,000"
11/04/2024,"3.930","3.940","3.900","3.940","16,000"
10/31/2024,"3.970","3.970","3.900","3.950","80,000"
10/30/2024,"3.940","3.950","3.880","3.900","54,000"
10/29/2024,"3.880","3.950","3.860","3.950","29,000"
10/28/2024,"3.930","3.950","3.880","3.880","40,000"
10/25/2024,"3.930","3.940","3.900","3.930","152,000"
10/24/2024,"3.970","3.970","3.860","3.900","50,000"
10/23/2024,"3.970","3.970","3.860","3.960","212,000"
10/22/2024,"3.900","3.990","3.880","3.970","182,000"
10/21/2024,"3.920","4.000","3.880","3.880","48,000"
10/18/2024,"3.920","3.940","3.900","3.930","297,000"
10/17/2024,"3.900","3.940","3.880","3.880","107,000"
10/16/2024,"3.850","3.950","3.850","3.900","67,000"
10/15/2024,"3.840","3.850","3.810","3.850","61,000"
10/14/2024,"3.830","3.840","3.830","3.840","98,000"
10/11/2024,"3.800","3.830","3.780","3.830","37,000"
10/10/2024,"3.830","3.830","3.800","3.810","133,000"
10/09/2024,"3.780","3.840","3.780","3.830","41,000"
10/08/2024,"3.780","3.800","3.780","3.780","47,000"
10/07/2024,"3.760","3.800","3.760","3.780","177,000"
10/04/2024,"3.810","3.810","3.760","3.760","171,000"
10/03/2024,"3.680","3.850","3.650","3.800","969,000"
10/02/2024,"3.820","3.880","3.700","3.700","746,000"
10/01/2024,"3.870","3.870","3.780","3.820","104,000"
09/30/2024,"3.810","3.810","3.780","3.780","213,000"
09/27/2024,"3.870","3.870","3.810","3.810","117,000"
09/26/2024,"3.880","3.880","3.810","3.810","278,000"
09/25/2024,"3.810","3.810","3.780","3.810","207,000"
09/24/2024,"3.770","3.810","3.760","3.800","755,000"
09/23/2024,"3.810","3.810","3.750","3.770","310,000"
09/20/2024,"3.800","3.820","3.770","3.810","198,000"
09/19/2024,"3.810","3.820","3.780","3.800","235,000"
09/18/2024,"3.810","3.810","3.750","3.800","176,000"
09/17/2024,"3.800","3.810","3.740","3.810","496,000"
09/16/2024,"3.810","3.830","3.780","3.800","48,000"
09/13/2024,"3.850","3.870","3.700","3.870","401,000"
09/12/2024,"3.860","3.890","3.850","3.880","553,000"
09/11/2024,"3.870","3.900","3.830","3.850","472,000"
09/10/2024,"3.850","3.870","3.820","3.870","1,323,000"
09/09/2024,"3.870","3.880","3.850","3.860","303,000"
09/06/2024,"3.870","3.880","3.860","3.880","305,000"
09/05/2024,"3.850","3.860","3.840","3.860","208,000"
09/04/2024,"3.880","3.880","3.850","3.850","156,000"
09/03/2024,"3.890","3.890","3.850","3.860","433,000"
09/02/2024,"3.900","3.900","3.880","3.890","185,000"
08/30/2024,"3.900","3.900","3.880","3.900","407,000"
08/29/2024,"3.870","3.900","3.860","3.900","467,000"
08/28/2024,"3.860","3.860","3.810","3.850","245,000"
08/27/2024,"3.800","3.860","3.800","3.860","154,000"
