Date,Open,High,Low,Close,Volume
12/29/2021,"79.95","79.95","79.25","79.25","14,110"
12/28/2021,"79.75","79.90","79.75","79.90","855,930"
12/27/2021,"79.00","79.90","78.25","79.90","851,450"
12/24/2021,"79.50","80.00","79.40","80.00","22,280"
12/22/2021,"79.90","79.90","79.90","79.90","9,000"
12/20/2021,"79.00","79.00","78.90","79.00","56,360"
12/17/2021,"79.00","79.00","79.00","79.00","4,020"
12/16/2021,"79.00","79.00","79.00","79.00","10,120"
12/15/2021,"79.75","80.00","79.70","80.00","54,500"
12/14/2021,"79.65","79.65","79.65","79.65","1,830"
12/13/2021,"79.50","79.50","79.25","79.25","2,220"
12/10/2021,"79.50","79.50","79.50","79.50","8,410"
12/09/2021,"79.75","79.75","79.25","79.30","70,930"
12/07/2021,"79.60","79.60","79.60","79.60","25,000"
12/06/2021,"79.40","79.60","79.25","79.60","7,890"
12/03/2021,"79.60","79.70","79.60","79.60","360"
12/02/2021,"79.60","79.60","79.60","79.60","380"
12/01/2021,"79.40","79.40","79.35","79.40","17,410"
11/29/2021,"79.30","79.40","79.30","79.40","20,220"
11/25/2021,"79.30","79.35","78.30","79.00","167,050"
11/24/2021,"79.60","79.70","79.30","79.70","2,320"
11/23/2021,"79.05","79.30","79.05","79.30","55,110"
11/22/2021,"79.30","79.30","79.30","79.30","1,000"
11/19/2021,"79.70","79.70","79.30","79.30","2,830"
11/18/2021,"79.30","79.35","79.30","79.35","133,800"
11/17/2021,"79.50","79.50","79.30","79.30","688,180"
11/16/2021,"79.30","79.30","79.30","79.30","230,000"
11/15/2021,"79.35","79.50","79.30","79.50","33,220"
11/12/2021,"79.30","79.40","79.30","79.40","35,430"
11/11/2021,"79.30","79.40","79.30","79.40","28,990"
11/10/2021,"79.35","79.35","79.35","79.35","10,000"
11/09/2021,"79.30","79.35","79.05","79.30","178,520"
11/08/2021,"79.20","79.25","79.20","79.25","10,850"
11/05/2021,"79.15","79.15","79.15","79.15","500"
11/04/2021,"79.20","79.30","79.10","79.20","33,350"
11/03/2021,"79.20","79.20","79.20","79.20","6,600"
11/02/2021,"79.20","79.25","79.20","79.25","46,290"
10/29/2021,"79.05","79.20","79.05","79.20","14,360"
10/28/2021,"79.20","79.20","79.20","79.20","1,000"
10/27/2021,"79.10","79.10","79.10","79.10","60,000"
10/26/2021,"79.20","79.20","79.05","79.05","25,260"
10/25/2021,"79.25","79.25","79.20","79.20","49,090"
10/22/2021,"79.25","79.25","79.25","79.25","107,070"
10/21/2021,"79.35","79.35","79.25","79.25","36,000"
10/20/2021,"79.35","79.35","79.25","79.25","170"
10/19/2021,"79.35","79.35","79.35","79.35","500"
10/18/2021,"79.30","79.35","79.05","79.05","94,810"
10/15/2021,"79.20","79.25","79.10","79.25","47,370"
10/14/2021,"79.20","79.25","79.20","79.25","27,430"
10/13/2021,"79.20","79.20","79.10","79.20","84,900"
10/12/2021,"79.25","79.25","79.05","79.05","50,000"
10/11/2021,"79.10","79.25","79.05","79.20","73,200"
10/08/2021,"79.05","79.10","79.05","79.10","22,820"
10/07/2021,"79.30","79.30","79.05","79.05","7,040"
10/06/2021,"79.05","79.05","79.05","79.05","100"
10/05/2021,"78.40","79.15","78.40","79.15","830"
10/04/2021,"79.00","79.80","79.00","79.80","590"
10/01/2021,"79.20","79.95","79.20","79.95","68,630"
09/30/2021,"79.30","79.40","79.30","79.40","83,140"
09/29/2021,"79.30","79.35","79.30","79.35","35,680"
09/28/2021,"79.45","79.45","79.20","79.20","7,770"
09/27/2021,"79.45","79.45","79.20","79.45","4,700"
09/23/2021,"78.95","78.95","78.40","78.65","14,980"
09/22/2021,"79.80","79.80","77.60","77.65","22,500"
09/21/2021,"78.35","78.35","78.35","78.35","300"
09/20/2021,"78.40","78.50","78.30","78.35","22,920"
09/17/2021,"79.80","79.80","78.40","79.80","1,000"
09/16/2021,"79.90","79.90","79.85","79.85","50"
09/15/2021,"79.90","79.90","79.90","79.90","10"
09/14/2021,"79.20","79.90","79.10","79.10","41,330"
09/13/2021,"79.20","79.70","79.20","79.70","5,470"
09/10/2021,"79.70","79.70","79.20","79.20","510"
09/09/2021,"79.40","79.40","79.20","79.20","2,150"
09/08/2021,"79.40","79.40","79.40","79.40","1,000"
09/07/2021,"79.10","79.30","79.10","79.30","10,530"
09/06/2021,"78.80","79.30","78.80","79.30","126,200"
09/03/2021,"78.75","78.80","78.75","78.80","342,120"
09/02/2021,"78.70","78.70","78.70","78.70","1,710"
08/31/2021,"78.60","78.70","78.60","78.70","35,150"
08/27/2021,"78.70","78.70","78.30","78.65","105,890"
08/26/2021,"78.65","78.70","78.65","78.65","164,930"
08/25/2021,"78.60","78.65","78.60","78.65","40,020"
08/24/2021,"78.65","78.65","78.50","78.50","61,250"
08/23/2021,"78.65","78.65","78.60","78.65","9,870"
08/20/2021,"78.50","78.65","78.50","78.65","19,690"
08/19/2021,"78.65","78.65","78.50","78.50","16,510"
08/18/2021,"78.65","78.65","78.50","78.60","34,240"
08/17/2021,"78.60","78.60","78.30","78.30","59,400"
08/16/2021,"78.70","78.70","78.60","78.60","57,530"
08/13/2021,"78.80","78.80","78.50","78.50","31,740"
08/12/2021,"78.80","78.80","78.50","78.50","152,790"
08/11/2021,"78.80","78.80","78.35","78.80","53,130"
08/10/2021,"79.00","79.00","78.50","78.80","87,200"
08/09/2021,"79.30","79.30","79.00","79.00","23,410"
08/06/2021,"79.35","79.35","79.35","79.35","610"
08/05/2021,"78.50","78.55","78.50","78.55","420"
