Date,Open,High,Low,Close,Volume
12/29/2020,"75.40","76.00","75.10","76.00","22,020"
12/28/2020,"76.00","76.00","75.40","75.40","683,620"
12/23/2020,"76.00","76.10","76.00","76.10","1,260"
12/22/2020,"76.00","76.00","76.00","76.00","8,100"
12/21/2020,"75.50","76.10","75.30","76.00","81,080"
12/18/2020,"75.70","75.70","75.70","75.70","390"
12/17/2020,"75.50","75.50","75.50","75.50","710"
12/16/2020,"75.50","75.50","75.30","75.30","300"
12/15/2020,"75.60","75.60","75.30","75.50","27,310"
12/14/2020,"75.30","75.60","75.30","75.60","3,050"
12/11/2020,"75.20","75.90","75.20","75.20","820"
12/10/2020,"76.00","76.00","75.00","75.20","105,680"
12/09/2020,"75.95","76.90","75.95","76.80","4,140"
12/07/2020,"76.15","76.15","76.00","76.00","37,700"
12/04/2020,"76.10","76.50","76.10","76.50","20,970"
12/03/2020,"76.10","76.85","76.10","76.15","12,950"
12/02/2020,"76.10","76.50","76.10","76.50","6,510"
12/01/2020,"76.10","76.50","76.10","76.10","7,620"
11/27/2020,"76.10","76.20","76.10","76.10","22,100"
11/26/2020,"76.10","76.10","76.10","76.10","3,510"
11/25/2020,"76.40","76.40","76.00","76.00","2,300"
11/24/2020,"76.00","76.10","76.00","76.10","22,420"
11/23/2020,"76.10","76.50","76.05","76.10","2,770"
11/20/2020,"76.10","76.30","76.10","76.10","9,850"
11/19/2020,"76.50","76.50","76.10","76.10","1,010"
11/18/2020,"76.10","76.50","76.10","76.50","1,410"
11/17/2020,"76.05","76.45","76.00","76.10","58,420"
11/16/2020,"76.05","76.20","76.00","76.20","1,070"
11/13/2020,"76.10","76.15","76.00","76.00","14,430"
11/11/2020,"76.30","76.30","76.00","76.20","5,180"
11/10/2020,"76.50","76.50","76.40","76.40","4,540"
11/09/2020,"76.50","76.65","76.00","76.50","61,430"
11/06/2020,"76.60","76.60","76.50","76.50","100,860"
11/05/2020,"76.80","76.85","76.50","76.85","63,470"
11/04/2020,"76.50","76.95","76.50","76.90","36,100"
11/03/2020,"76.05","76.95","76.00","76.95","167,480"
10/30/2020,"77.00","77.05","76.90","77.05","117,690"
10/29/2020,"76.00","77.10","76.00","77.00","129,110"
