Date,Open,High,Low,Close,Volume
12/29/2020,"75.10","76.00","75.10","75.50","10,410"
12/28/2020,"75.10","76.00","75.10","75.30","3,190"
12/23/2020,"75.60","76.40","75.05","76.00","239,220"
12/22/2020,"75.50","75.60","75.05","75.05","4,780"
12/21/2020,"75.00","75.65","75.00","75.60","28,520"
12/18/2020,"75.05","75.05","75.05","75.05","9,200"
12/17/2020,"75.70","75.75","75.05","75.05","17,010"
12/16/2020,"76.00","76.00","75.00","75.00","11,200"
12/15/2020,"75.10","76.00","75.00","76.00","33,310"
12/14/2020,"75.95","75.95","75.10","75.10","9,790"
12/11/2020,"75.00","75.15","75.00","75.00","53,320"
12/10/2020,"75.00","75.05","75.00","75.00","132,470"
