Date,Open,High,Low,Close,Volume
12/29/2020,"38.55","38.65","38.30","38.50","9,207,200"
12/28/2020,"38.20","38.90","37.40","38.60","5,404,000"
12/23/2020,"38.80","38.80","37.75","38.55","6,381,700"
12/22/2020,"38.20","38.90","37.30","38.90","12,219,400"
12/21/2020,"37.80","38.35","37.55","38.10","8,128,700"
12/18/2020,"37.85","38.20","37.60","37.90","36,566,699"
12/17/2020,"38.30","38.45","37.70","37.85","16,650,500"
12/16/2020,"38.05","38.80","37.55","38.80","8,773,800"
12/15/2020,"38.25","38.60","38.05","38.15","10,614,500"
12/14/2020,"39.00","39.50","38.05","38.05","17,303,801"
12/11/2020,"39.00","39.70","38.80","39.20","12,631,500"
12/10/2020,"37.80","38.75","37.80","38.40","5,970,700"
12/09/2020,"38.60","38.80","37.90","37.90","6,796,300"
12/07/2020,"37.80","38.70","37.80","38.70","10,097,400"
12/04/2020,"38.75","38.85","37.50","37.60","10,922,800"
12/03/2020,"38.20","39.00","37.35","39.00","10,784,000"
12/02/2020,"37.90","38.35","37.10","38.20","9,239,800"
12/01/2020,"35.00","38.00","35.00","38.00","10,176,800"
11/27/2020,"36.20","36.75","35.65","36.00","64,400,699"
11/26/2020,"37.20","37.40","36.10","36.50","15,411,800"
11/25/2020,"38.50","38.65","37.25","37.30","12,321,100"
11/24/2020,"38.60","39.45","37.90","38.50","12,815,800"
11/23/2020,"39.40","40.50","38.55","38.55","10,947,700"
11/20/2020,"38.00","39.50","38.00","39.50","6,949,200"
11/19/2020,"38.10","38.50","37.60","38.00","9,494,600"
11/18/2020,"38.40","38.75","38.05","38.50","12,278,200"
11/17/2020,"38.15","38.40","37.60","38.40","5,286,000"
11/16/2020,"38.55","38.65","37.25","37.80","12,749,900"
11/13/2020,"37.20","38.75","37.00","38.75","10,605,800"
11/11/2020,"38.00","39.45","37.30","38.30","24,016,301"
11/10/2020,"36.10","38.60","36.10","38.30","24,672,801"
11/09/2020,"34.70","35.85","34.10","35.85","10,681,800"
11/06/2020,"35.30","35.30","34.40","34.75","11,120,600"
11/05/2020,"33.85","35.65","33.80","35.30","9,977,800"
11/04/2020,"33.70","33.85","32.85","33.85","4,506,700"
11/03/2020,"32.05","33.35","31.65","33.00","10,374,600"
10/30/2020,"32.70","33.80","32.50","33.70","6,005,600"
10/29/2020,"32.00","32.80","31.60","32.80","8,708,000"
10/28/2020,"33.40","33.40","32.15","32.50","8,083,800"
10/27/2020,"33.60","33.85","32.05","33.50","7,806,000"
10/26/2020,"34.45","34.45","33.70","34.20","5,455,400"
10/23/2020,"33.50","34.50","33.50","34.50","19,261,900"
10/22/2020,"32.50","33.50","31.70","33.50","12,665,400"
10/21/2020,"31.50","32.80","31.50","32.45","11,358,900"
10/20/2020,"31.20","31.60","31.00","31.35","6,970,900"
10/19/2020,"30.45","31.40","30.45","31.40","5,537,500"
10/16/2020,"30.10","30.50","30.00","30.45","6,776,800"
10/15/2020,"29.95","30.25","29.65","30.25","5,559,200"
10/14/2020,"29.90","29.95","29.50","29.95","5,032,300"
10/13/2020,"29.95","30.15","29.50","29.95","3,518,800"
10/12/2020,"29.10","30.00","28.95","30.00","4,610,800"
10/09/2020,"29.60","29.60","28.80","29.10","7,027,100"
10/08/2020,"29.60","29.80","28.75","29.75","3,325,100"
10/07/2020,"29.60","29.60","28.90","29.30","7,291,000"
10/06/2020,"29.50","29.95","28.90","29.60","3,157,900"
10/05/2020,"30.30","30.30","29.50","29.50","3,798,500"
10/02/2020,"29.95","30.00","29.60","30.00","5,839,300"
10/01/2020,"29.40","30.00","29.10","30.00","4,492,200"
09/30/2020,"28.55","29.80","28.50","29.40","24,528,301"
09/29/2020,"28.85","28.85","28.45","28.50","2,015,300"
09/28/2020,"28.75","29.00","28.50","28.50","6,858,200"
09/25/2020,"28.75","29.00","28.40","28.50","4,005,700"
09/24/2020,"28.85","28.95","28.35","28.35","12,733,100"
09/23/2020,"29.05","29.10","28.80","29.00","6,782,400"
09/22/2020,"28.90","29.10","28.60","29.05","3,877,800"
09/21/2020,"28.20","29.00","28.15","29.00","5,867,900"
09/18/2020,"28.45","28.60","28.05","28.05","20,229,301"
09/17/2020,"28.50","28.65","28.00","28.50","8,363,600"
09/16/2020,"28.55","28.90","28.50","28.50","7,855,400"
09/15/2020,"28.95","29.00","28.35","28.50","9,837,100"
09/14/2020,"28.45","28.95","28.30","28.85","16,759,900"
09/11/2020,"28.45","28.80","28.25","28.35","5,775,700"
09/10/2020,"28.80","28.85","28.25","28.25","9,239,400"
09/09/2020,"29.30","29.30","28.30","28.30","11,626,500"
09/08/2020,"29.00","29.45","28.95","29.15","7,838,100"
09/07/2020,"28.00","28.95","28.00","28.85","6,203,500"
09/04/2020,"28.15","28.20","27.65","27.95","9,492,400"
09/03/2020,"28.10","28.40","27.70","27.95","18,089,500"
09/02/2020,"28.90","28.95","28.00","28.05","20,799,100"
09/01/2020,"29.90","29.95","28.50","28.50","14,026,900"
08/28/2020,"29.50","29.80","29.20","29.20","18,218,100"
08/27/2020,"29.50","29.95","29.50","29.50","3,828,100"
08/26/2020,"29.75","30.05","29.50","29.50","14,253,100"
08/25/2020,"30.00","30.30","29.50","30.05","9,789,200"
08/24/2020,"30.95","31.10","30.00","30.00","11,518,300"
08/20/2020,"31.10","31.15","30.00","31.00","4,846,200"
08/19/2020,"31.90","31.90","31.00","31.00","10,127,900"
08/18/2020,"31.40","32.00","31.00","32.00","7,245,500"
08/17/2020,"31.05","31.40","30.20","31.40","2,630,900"
08/14/2020,"30.60","31.00","30.10","31.00","22,588,801"
08/13/2020,"30.20","31.00","30.05","31.00","4,687,700"
08/12/2020,"30.80","30.80","29.85","30.00","9,042,800"
08/11/2020,"29.80","30.80","29.80","30.25","9,425,700"
08/10/2020,"29.20","29.85","29.20","29.70","2,388,600"
08/07/2020,"29.80","29.80","29.00","29.00","8,339,200"
08/06/2020,"29.15","29.45","28.50","29.45","4,306,000"
08/05/2020,"28.55","29.30","28.50","29.00","10,324,300"
08/04/2020,"28.20","29.10","28.20","28.45","14,245,400"
08/03/2020,"29.50","29.50","28.20","28.55","19,108,000"
07/30/2020,"30.50","30.90","30.00","30.00","6,437,600"
07/29/2020,"31.00","31.05","30.30","30.50","4,414,200"
07/28/2020,"30.30","31.20","30.00","31.10","3,365,200"
07/27/2020,"30.50","30.70","30.00","30.30","5,562,300"
07/24/2020,"30.30","30.50","30.05","30.50","13,693,100"
07/23/2020,"31.15","31.15","29.95","30.50","9,664,200"
07/22/2020,"31.10","31.30","30.90","30.90","24,409,301"
07/21/2020,"31.25","31.30","30.75","31.00","11,559,900"
07/20/2020,"31.20","31.90","30.80","31.70","4,583,900"
07/17/2020,"32.45","32.45","30.90","31.20","9,145,900"
07/16/2020,"31.75","32.70","31.75","32.70","2,893,100"
07/15/2020,"31.50","31.70","31.15","31.70","24,563,500"
07/14/2020,"31.20","31.75","31.20","31.60","3,879,600"
07/13/2020,"31.75","31.75","31.10","31.20","3,076,100"
07/10/2020,"30.80","32.00","30.05","31.90","5,031,900"
07/09/2020,"31.75","31.85","30.50","30.50","5,449,300"
07/08/2020,"31.50","32.05","31.20","31.75","5,139,500"
07/07/2020,"32.60","32.75","31.50","31.50","7,071,200"
07/06/2020,"33.40","33.40","32.65","32.70","7,186,400"
07/03/2020,"33.10","33.40","32.85","33.40","18,372,100"
07/02/2020,"32.30","33.70","32.00","33.05","8,455,200"
07/01/2020,"31.85","32.50","31.30","32.35","6,131,700"
06/30/2020,"31.95","32.05","31.35","31.85","5,735,100"
06/29/2020,"31.00","31.90","30.70","31.90","4,721,500"
06/26/2020,"31.50","31.60","30.05","31.60","13,688,600"
06/25/2020,"30.90","31.30","30.45","31.20","25,833,900"
06/24/2020,"31.50","31.85","31.00","31.00","5,232,800"
06/23/2020,"31.95","31.95","31.60","31.70","4,542,800"
06/22/2020,"31.70","32.20","31.20","32.20","3,773,400"
06/19/2020,"31.90","32.95","31.40","31.45","29,903,900"
06/18/2020,"31.00","32.00","31.00","32.00","3,223,200"
06/17/2020,"31.45","31.65","30.70","31.00","14,713,800"
06/16/2020,"31.70","31.95","30.60","31.00","8,352,600"
06/15/2020,"32.30","32.75","30.65","30.65","10,800,600"
06/11/2020,"32.80","33.25","31.90","33.25","24,280,900"
06/10/2020,"33.55","33.85","31.90","33.00","12,070,700"
06/09/2020,"33.40","34.15","33.10","33.50","12,442,100"
06/08/2020,"33.30","34.20","33.10","33.40","23,062,801"
06/05/2020,"33.50","34.00","32.00","32.90","13,050,700"
06/04/2020,"33.45","34.30","33.25","33.95","20,534,199"
06/03/2020,"32.40","33.50","31.70","33.50","9,109,900"
06/02/2020,"31.65","32.50","31.10","32.00","14,368,000"
06/01/2020,"29.80","31.75","29.50","31.75","14,451,000"
05/29/2020,"29.60","30.15","29.20","30.15","27,177,199"
05/28/2020,"29.80","29.80","29.15","29.50","10,210,900"
05/27/2020,"29.30","29.80","28.80","29.80","17,783,199"
05/26/2020,"29.00","29.50","28.75","29.50","4,574,400"
05/22/2020,"29.00","29.25","28.55","29.00","5,793,800"
05/21/2020,"29.40","29.50","28.75","28.95","19,547,301"
05/20/2020,"29.80","29.90","29.30","29.65","3,831,200"
05/19/2020,"29.70","30.00","29.20","29.50","4,096,400"
05/18/2020,"29.50","29.85","28.50","29.80","5,762,700"
05/15/2020,"30.05","30.15","29.00","29.00","8,206,900"
05/14/2020,"28.55","30.60","28.10","30.60","6,949,800"
05/13/2020,"29.55","30.00","28.40","28.55","8,265,700"
05/12/2020,"30.40","30.65","29.60","29.60","17,194,301"
05/11/2020,"31.00","31.20","30.55","30.65","1,642,400"
05/08/2020,"31.00","31.30","30.50","31.00","9,641,700"
05/07/2020,"30.20","31.30","30.05","30.90","10,831,000"
05/06/2020,"30.10","30.50","29.55","30.00","6,743,400"
05/05/2020,"30.40","31.15","29.90","30.05","6,613,900"
05/04/2020,"29.25","30.40","28.75","30.40","8,936,700"
04/30/2020,"31.00","31.05","30.05","31.00","13,148,900"
04/29/2020,"29.75","31.00","29.15","30.95","6,020,100"
04/28/2020,"28.80","29.70","28.70","29.70","6,917,500"
04/27/2020,"28.95","28.95","27.60","28.80","13,845,600"
04/24/2020,"30.25","30.25","27.50","28.65","16,089,200"
04/23/2020,"30.20","30.45","30.05","30.25","8,418,700"
04/22/2020,"29.50","29.90","29.10","29.70","8,003,400"
04/21/2020,"30.95","30.95","30.00","30.00","12,169,600"
04/20/2020,"31.95","31.95","30.50","31.50","7,963,000"
04/17/2020,"30.65","31.95","30.30","31.95","13,820,200"
04/16/2020,"30.35","31.00","29.55","29.55","19,134,500"
04/15/2020,"30.90","31.95","30.50","31.90","15,335,800"
04/14/2020,"30.10","30.90","29.65","30.90","7,110,900"
04/13/2020,"29.40","30.10","28.60","30.10","8,455,700"
04/08/2020,"30.50","31.00","29.15","29.20","18,388,699"
04/07/2020,"31.00","31.60","30.20","31.10","14,784,600"
04/06/2020,"29.05","30.15","28.50","30.15","10,310,600"
04/03/2020,"29.15","29.40","28.60","29.00","7,305,300"
04/02/2020,"27.90","29.60","27.50","29.60","9,894,400"
04/01/2020,"28.40","29.85","28.05","28.30","11,654,300"
03/31/2020,"28.05","28.70","27.20","28.40","23,699,100"
03/30/2020,"28.00","28.00","26.10","27.35","13,865,200"
03/27/2020,"31.10","32.45","28.50","28.50","14,406,400"
03/26/2020,"28.25","31.00","27.35","31.00","22,578,301"
03/25/2020,"26.95","27.85","26.00","27.00","17,829,699"
03/24/2020,"25.40","26.85","25.10","25.50","20,214,301"
03/23/2020,"23.50","25.00","23.40","24.70","14,121,300"
03/20/2020,"27.00","28.40","25.00","26.00","22,492,801"
03/19/2020,"25.00","27.50","19.90","27.00","38,608,102"
03/16/2020,"29.40","29.65","27.10","28.50","21,905,400"
03/13/2020,"28.00","32.20","27.00","30.00","32,331,699"
03/12/2020,"34.75","34.75","29.55","30.90","26,126,699"
03/11/2020,"36.00","36.85","34.80","34.80","10,847,900"
03/10/2020,"34.75","36.95","34.75","35.50","28,317,699"
03/09/2020,"38.50","38.50","36.10","36.10","10,635,500"
03/06/2020,"38.65","39.10","38.50","38.55","7,856,900"
03/05/2020,"39.50","39.50","39.20","39.50","29,866,600"
03/04/2020,"39.00","39.50","38.50","39.50","14,554,000"
03/03/2020,"39.45","39.90","39.00","39.00","10,201,000"
03/02/2020,"38.10","39.40","38.00","38.70","12,293,900"
02/28/2020,"38.35","38.40","38.00","38.30","19,564,600"
02/27/2020,"38.80","39.35","38.70","39.05","14,296,200"
02/26/2020,"39.60","39.60","38.15","39.30","22,000,600"
02/24/2020,"40.50","40.50","40.00","40.10","10,441,500"
02/21/2020,"41.65","41.75","41.00","41.30","6,633,600"
02/20/2020,"41.10","42.05","41.05","41.65","9,699,100"
02/19/2020,"41.10","41.50","40.85","41.10","8,956,100"
02/18/2020,"41.60","41.70","40.75","41.70","23,553,301"
02/17/2020,"41.45","41.70","40.60","41.70","23,900,900"
02/14/2020,"42.05","42.25","41.50","41.70","28,469,100"
