Date,Open,High,Low,Close,Volume
12/31/2021,"13.90","13.96","13.84","13.96","45,300"
12/29/2021,"13.86","13.90","13.82","13.90","102,000"
12/28/2021,"13.82","13.88","13.82","13.86","72,100"
12/27/2021,"13.90","14.00","13.78","13.82","79,800"
12/24/2021,"13.90","13.90","13.88","13.90","73,500"
12/23/2021,"13.90","13.90","13.84","13.90","22,100"
12/22/2021,"13.80","13.90","13.76","13.82","96,400"
12/21/2021,"14.24","14.24","13.78","13.80","96,300"
12/20/2021,"13.92","14.40","13.80","14.00","257,400"
12/17/2021,"14.38","14.50","14.30","14.50","394,900"
12/16/2021,"14.10","14.40","14.10","14.32","264,200"
12/15/2021,"14.44","14.48","14.02","14.06","464,600"
12/14/2021,"14.50","14.50","14.30","14.44","300,600"
12/13/2021,"14.54","14.54","14.46","14.50","797,400"
12/10/2021,"14.20","14.98","14.20","14.50","1,132,200"
12/09/2021,"14.00","14.00","13.88","13.94","18,700"
12/07/2021,"13.98","14.00","13.70","13.98","57,100"
12/06/2021,"14.00","14.00","13.70","13.98","129,400"
12/03/2021,"13.80","14.00","13.74","14.00","75,700"
12/02/2021,"13.72","13.80","13.68","13.74","94,000"
12/01/2021,"13.74","13.78","13.66","13.72","168,900"
11/29/2021,"13.90","13.90","13.66","13.78","232,000"
11/26/2021,"14.00","14.00","13.94","14.00","128,800"
11/25/2021,"14.00","14.00","13.98","14.00","26,300"
11/24/2021,"13.88","14.00","13.88","14.00","63,500"
11/23/2021,"13.82","13.86","13.82","13.86","50,500"
11/22/2021,"13.84","13.84","13.82","13.84","55,100"
11/19/2021,"13.88","13.90","13.84","13.84","169,400"
11/18/2021,"13.90","13.90","13.88","13.88","34,500"
11/17/2021,"13.90","13.90","13.84","13.90","200,100"
11/16/2021,"13.88","13.90","13.86","13.90","40,800"
11/15/2021,"13.84","13.90","13.84","13.84","142,900"
11/12/2021,"14.30","14.32","13.86","13.86","239,000"
11/11/2021,"14.28","14.32","14.18","14.20","146,000"
11/10/2021,"13.84","14.20","13.84","14.20","202,600"
11/09/2021,"13.70","13.88","13.66","13.88","138,600"
11/08/2021,"13.68","13.70","13.66","13.68","91,400"
11/05/2021,"13.68","13.70","13.64","13.68","108,800"
11/04/2021,"13.70","13.70","13.66","13.70","114,100"
11/03/2021,"13.64","13.70","13.62","13.70","199,100"
11/02/2021,"13.68","13.68","13.60","13.64","56,900"
10/29/2021,"13.80","13.82","13.62","13.68","150,800"
10/28/2021,"13.82","13.82","13.68","13.80","80,900"
10/27/2021,"13.82","13.82","13.74","13.82","57,100"
10/26/2021,"13.84","13.86","13.50","13.74","97,800"
10/25/2021,"13.80","13.86","13.56","13.80","62,800"
10/22/2021,"13.86","13.86","13.80","13.80","45,200"
10/21/2021,"13.88","13.90","13.80","13.82","63,600"
10/20/2021,"13.98","13.98","13.80","13.88","47,000"
10/19/2021,"13.96","13.98","13.44","13.88","322,700"
10/18/2021,"13.96","14.00","13.94","13.96","103,500"
10/15/2021,"13.84","13.96","13.80","13.96","117,900"
10/14/2021,"13.60","13.88","13.38","13.80","237,600"
10/13/2021,"13.48","13.90","13.38","13.40","759,100"
10/12/2021,"14.00","14.00","13.50","13.50","641,200"
10/11/2021,"13.76","14.00","13.76","14.00","263,200"
10/08/2021,"14.00","14.00","13.50","13.76","345,700"
10/07/2021,"14.48","14.48","14.00","14.06","314,900"
10/06/2021,"14.50","14.50","14.42","14.50","459,300"
10/05/2021,"14.68","14.70","14.40","14.68","326,500"
10/04/2021,"14.70","14.78","14.60","14.70","252,600"
10/01/2021,"14.70","14.78","14.60","14.70","71,700"
09/30/2021,"14.50","14.70","14.50","14.70","73,700"
09/29/2021,"14.80","14.80","14.02","14.50","133,700"
09/28/2021,"14.70","14.80","14.60","14.72","334,100"
09/27/2021,"14.30","14.88","14.30","14.76","353,700"
09/24/2021,"14.36","14.40","14.10","14.36","61,200"
09/23/2021,"13.76","14.50","13.66","14.30","133,000"
09/22/2021,"13.60","13.70","13.54","13.70","119,500"
09/21/2021,"13.62","13.70","13.60","13.62","181,800"
09/20/2021,"13.74","13.76","13.50","13.64","33,600"
09/17/2021,"13.80","13.80","13.68","13.74","103,000"
09/16/2021,"13.36","13.76","13.30","13.72","195,500"
09/15/2021,"13.40","13.40","13.30","13.30","58,400"
09/14/2021,"13.26","13.40","13.26","13.34","74,700"
09/13/2021,"13.44","13.50","13.26","13.26","99,700"
09/10/2021,"13.50","13.50","13.40","13.44","30,900"
09/09/2021,"13.24","13.50","13.22","13.28","65,800"
09/08/2021,"13.44","13.44","13.16","13.24","62,700"
09/07/2021,"13.40","13.60","13.40","13.50","177,500"
09/06/2021,"13.18","13.70","13.18","13.40","167,400"
09/03/2021,"12.96","13.10","12.90","13.10","123,800"
09/02/2021,"13.00","13.00","12.92","12.96","76,800"
09/01/2021,"12.98","13.00","12.94","12.98","35,300"
08/31/2021,"12.84","13.00","12.82","12.98","67,600"
08/27/2021,"12.82","12.82","12.68","12.82","92,800"
08/26/2021,"13.00","13.20","12.68","12.82","232,900"
08/25/2021,"12.80","12.96","12.80","12.96","137,000"
08/24/2021,"12.72","12.80","12.68","12.76","54,100"
08/23/2021,"12.62","12.72","12.62","12.66","80,700"
08/20/2021,"12.72","12.76","12.62","12.62","73,600"
08/19/2021,"12.70","12.74","12.60","12.72","83,900"
08/18/2021,"12.60","12.74","12.60","12.68","37,300"
08/17/2021,"12.74","12.78","12.62","12.62","52,500"
08/16/2021,"12.80","12.80","12.68","12.74","118,000"
08/13/2021,"12.56","12.70","12.50","12.70","68,500"
08/12/2021,"12.80","12.80","12.52","12.56","81,700"
08/11/2021,"12.70","12.90","12.70","12.90","73,300"
08/10/2021,"12.88","12.88","12.50","12.70","163,800"
08/09/2021,"12.50","12.80","12.30","12.80","136,400"
08/06/2021,"12.48","12.60","12.40","12.40","337,700"
08/05/2021,"12.24","12.50","12.22","12.50","240,500"
08/04/2021,"11.90","12.24","11.50","12.22","176,700"
08/03/2021,"11.84","11.86","11.80","11.86","93,400"
08/02/2021,"11.72","11.98","11.70","11.84","47,900"
07/30/2021,"11.90","11.96","11.60","11.84","82,200"
07/29/2021,"11.84","11.90","11.68","11.90","78,500"
07/28/2021,"11.78","11.90","11.60","11.68","61,200"
07/27/2021,"11.56","11.90","11.56","11.90","80,000"
07/26/2021,"11.78","11.78","11.50","11.54","99,700"
07/23/2021,"11.90","11.94","11.56","11.78","110,500"
07/22/2021,"11.34","11.90","11.34","11.90","179,200"
07/21/2021,"11.58","11.58","10.58","11.34","1,228,500"
07/19/2021,"12.28","12.28","11.50","11.58","1,040,100"
