Date,Open,High,Low,Close,Volume
12/29/2020,"0.470","0.470","0.465","0.465","7,180,000"
12/28/2020,"0.485","0.485","0.465","0.475","2,140,000"
12/23/2020,"0.465","0.490","0.460","0.490","10,870,000"
12/22/2020,"0.475","0.475","0.465","0.475","11,310,000"
12/21/2020,"0.475","0.480","0.470","0.480","4,910,000"
12/18/2020,"0.475","0.480","0.465","0.475","7,320,000"
12/17/2020,"0.495","0.500","0.475","0.475","23,590,000"
12/16/2020,"0.465","0.490","0.455","0.490","21,370,000"
12/15/2020,"0.455","0.470","0.455","0.470","11,000,000"
12/14/2020,"0.460","0.465","0.440","0.450","17,510,000"
12/11/2020,"0.425","0.455","0.425","0.450","30,930,000"
12/10/2020,"0.410","0.420","0.405","0.420","8,610,000"
12/09/2020,"0.400","0.405","0.395","0.405","20,650,000"
12/07/2020,"0.400","0.405","0.395","0.400","3,410,000"
12/04/2020,"0.405","0.405","0.395","0.400","5,760,000"
12/03/2020,"0.390","0.405","0.385","0.395","21,150,000"
12/02/2020,"0.390","0.395","0.385","0.390","7,800,000"
12/01/2020,"0.400","0.405","0.395","0.395","11,600,000"
11/27/2020,"0.410","0.410","0.405","0.410","6,880,000"
11/26/2020,"0.405","0.410","0.400","0.405","7,390,000"
11/25/2020,"0.425","0.425","0.410","0.415","6,470,000"
11/24/2020,"0.420","0.420","0.400","0.420","16,880,000"
11/23/2020,"0.410","0.420","0.400","0.415","18,930,000"
11/20/2020,"0.385","0.425","0.385","0.400","65,540,000"
11/19/2020,"0.370","0.380","0.365","0.380","15,470,000"
11/18/2020,"0.360","0.370","0.355","0.370","10,320,000"
11/17/2020,"0.365","0.365","0.355","0.360","3,430,000"
11/16/2020,"0.355","0.365","0.350","0.360","5,280,000"
11/13/2020,"0.355","0.355","0.350","0.355","1,770,000"
11/11/2020,"0.365","0.365","0.355","0.355","3,610,000"
11/10/2020,"0.355","0.365","0.355","0.365","4,890,000"
11/09/2020,"0.350","0.355","0.345","0.355","5,890,000"
11/06/2020,"0.355","0.355","0.350","0.355","1,950,000"
11/05/2020,"0.350","0.355","0.345","0.355","2,830,000"
11/04/2020,"0.340","0.355","0.335","0.350","4,610,000"
11/03/2020,"0.340","0.340","0.330","0.340","1,530,000"
10/30/2020,"0.335","0.340","0.325","0.340","3,090,000"
10/29/2020,"0.345","0.350","0.335","0.340","9,860,000"
10/28/2020,"0.340","0.355","0.330","0.350","14,300,000"
10/27/2020,"0.325","0.340","0.315","0.340","9,250,000"
10/26/2020,"0.330","0.330","0.320","0.325","3,450,000"
10/23/2020,"0.320","0.325","0.315","0.325","5,620,000"
10/22/2020,"0.315","0.325","0.315","0.320","3,040,000"
10/21/2020,"0.310","0.315","0.310","0.310","1,330,000"
10/20/2020,"0.310","0.315","0.305","0.315","2,500,000"
10/19/2020,"0.315","0.315","0.305","0.315","4,360,000"
10/16/2020,"0.315","0.315","0.305","0.315","3,610,000"
10/15/2020,"0.315","0.320","0.310","0.315","2,550,000"
10/14/2020,"0.315","0.320","0.310","0.315","2,010,000"
10/13/2020,"0.315","0.320","0.315","0.315","3,000,000"
10/12/2020,"0.315","0.315","0.310","0.310","1,730,000"
10/09/2020,"0.315","0.320","0.310","0.310","1,570,000"
10/08/2020,"0.310","0.315","0.305","0.315","2,670,000"
10/07/2020,"0.305","0.315","0.300","0.315","3,620,000"
10/06/2020,"0.310","0.315","0.300","0.305","4,700,000"
10/05/2020,"0.310","0.315","0.305","0.310","2,730,000"
10/02/2020,"0.305","0.315","0.305","0.310","3,140,000"
10/01/2020,"0.315","0.320","0.305","0.310","7,460,000"
09/30/2020,"0.320","0.320","0.310","0.315","7,100,000"
09/29/2020,"0.325","0.325","0.310","0.320","14,750,000"
09/28/2020,"0.340","0.340","0.330","0.335","3,940,000"
09/25/2020,"0.325","0.345","0.325","0.345","9,390,000"
09/24/2020,"0.325","0.335","0.325","0.325","3,630,000"
09/23/2020,"0.345","0.345","0.325","0.335","6,690,000"
09/22/2020,"0.335","0.345","0.325","0.345","7,950,000"
09/21/2020,"0.350","0.355","0.330","0.335","16,360,000"
09/18/2020,"0.350","0.350","0.345","0.350","3,370,000"
09/17/2020,"0.345","0.355","0.345","0.345","3,160,000"
09/16/2020,"0.360","0.360","0.345","0.345","11,190,000"
09/15/2020,"0.370","0.375","0.360","0.365","15,590,000"
09/14/2020,"0.340","0.370","0.340","0.370","44,800,000"
09/11/2020,"0.320","0.330","0.315","0.330","38,380,000"
09/10/2020,"0.310","0.325","0.310","0.325","37,470,000"
09/09/2020,"0.320","0.320","0.310","0.310","5,370,000"
09/08/2020,"0.330","0.330","0.315","0.320","6,820,000"
09/07/2020,"0.315","0.330","0.315","0.325","10,890,000"
09/04/2020,"0.310","0.315","0.305","0.315","2,010,000"
09/03/2020,"0.305","0.310","0.305","0.310","1,360,000"
09/02/2020,"0.310","0.315","0.300","0.305","7,170,000"
09/01/2020,"0.310","0.310","0.305","0.305","2,920,000"
08/28/2020,"0.305","0.305","0.300","0.305","1,240,000"
08/27/2020,"0.305","0.305","0.300","0.300","1,570,000"
08/26/2020,"0.300","0.310","0.300","0.310","2,980,000"
