Date,Open,High,Low,Close,Volume
12/27/2024,"0.900","0.900","0.900","0.900","1,000"
12/26/2024,"0.850","0.850","0.850","0.850","4,000"
12/19/2024,"0.860","0.860","0.850","0.850","262,000"
12/18/2024,"0.860","0.860","0.860","0.860","3,000"
12/17/2024,"0.860","0.890","0.860","0.860","112,000"
12/16/2024,"0.900","0.900","0.860","0.860","196,000"
12/13/2024,"0.860","0.860","0.860","0.860","2,000"
12/12/2024,"0.850","0.850","0.850","0.850","81,000"
12/11/2024,"0.860","0.860","0.860","0.860","20,000"
12/04/2024,"0.830","0.900","0.830","0.900","10,000"
12/03/2024,"0.830","0.900","0.830","0.900","2,000"
11/29/2024,"0.840","0.900","0.840","0.840","101,000"
11/28/2024,"0.890","0.890","0.840","0.840","99,000"
11/27/2024,"0.890","0.890","0.890","0.890","1,000"
11/25/2024,"0.830","0.900","0.830","0.900","5,000"
11/22/2024,"0.860","0.860","0.860","0.860","4,231,000"
11/20/2024,"0.860","0.900","0.860","0.900","2,000"
11/19/2024,"0.880","0.880","0.860","0.860","29,000"
11/15/2024,"0.880","0.880","0.880","0.880","8,000"
11/14/2024,"0.880","0.880","0.880","0.880","130,000"
11/12/2024,"0.900","0.900","0.880","0.880","34,000"
11/11/2024,"0.880","0.880","0.880","0.880","166,000"
11/07/2024,"0.870","0.870","0.870","0.870","7,000"
11/04/2024,"0.890","0.890","0.890","0.890","15,000"
10/30/2024,"0.880","0.880","0.880","0.880","300,000"
10/29/2024,"0.880","0.880","0.880","0.880","106,000"
10/28/2024,"0.880","0.910","0.880","0.900","295,000"
10/25/2024,"0.890","0.890","0.890","0.890","5,000"
10/24/2024,"0.910","0.910","0.880","0.910","315,000"
10/23/2024,"0.880","0.910","0.880","0.910","313,000"
10/21/2024,"0.910","0.910","0.910","0.910","2,000"
10/18/2024,"0.890","0.890","0.880","0.880","106,000"
10/17/2024,"0.880","0.880","0.880","0.880","144,000"
10/16/2024,"0.880","0.880","0.880","0.880","3,000"
10/15/2024,"0.910","0.910","0.880","0.880","17,000"
10/14/2024,"0.880","0.880","0.880","0.880","4,000"
10/11/2024,"0.880","0.880","0.880","0.880","20,000"
10/10/2024,"0.880","0.910","0.880","0.910","17,000"
10/09/2024,"0.880","0.910","0.880","0.900","37,000"
