Date,Open,High,Low,Close,Volume
04/29/2025,"15.10","15.10","15.10","15.10","500"
04/28/2025,"15.04","15.04","15.04","15.04","400"
04/25/2025,"16.48","16.48","15.02","15.02","2,500"
04/23/2025,"15.02","16.50","15.02","16.48","6,400"
04/22/2025,"15.98","15.98","15.98","15.98","1,400"
04/21/2025,"15.78","15.98","15.78","15.98","2,900"
04/16/2025,"15.80","15.80","13.50","13.50","600"
04/14/2025,"13.00","14.70","13.00","14.70","2,100"
04/11/2025,"15.00","15.00","13.00","14.50","900"
04/08/2025,"15.80","15.80","15.00","15.00","1,300"
04/07/2025,"15.88","15.88","15.84","15.84","4,900"
04/04/2025,"15.88","15.92","15.00","15.92","1,300"
04/03/2025,"13.98","15.88","13.00","15.88","7,400"
04/02/2025,"15.90","15.90","13.98","13.98","15,000"
03/31/2025,"16.50","16.50","14.00","15.92","7,000"
03/28/2025,"15.40","16.50","12.50","12.50","15,400"
03/27/2025,"15.26","15.26","15.00","15.00","1,100"
03/26/2025,"11.00","15.30","11.00","15.28","8,700"
03/25/2025,"11.00","11.00","11.00","11.00","1,800"
03/21/2025,"10.28","10.28","9.50","9.50","23,400"
03/20/2025,"11.00","11.00","11.00","11.00","35,800"
03/19/2025,"10.62","10.62","10.28","10.28","20,000"
03/18/2025,"11.60","11.60","10.60","11.00","21,800"
03/17/2025,"13.20","13.20","11.44","12.00","50,400"
03/14/2025,"14.60","14.60","13.20","13.20","7,000"
03/13/2025,"11.44","14.50","11.44","14.50","38,500"
03/12/2025,"16.32","16.34","16.32","16.32","6,600"
03/11/2025,"30.00","30.00","23.30","23.30","22,400"
03/10/2025,"45.90","49.00","33.25","33.25","250,100"
03/07/2025,"47.40","47.50","47.40","47.50","3,600"
03/06/2025,"47.45","47.45","47.45","47.45","200"
03/05/2025,"47.20","47.20","45.15","45.15","2,200"
03/04/2025,"47.05","47.20","46.95","47.20","9,000"
02/28/2025,"47.15","47.20","47.15","47.20","2,000"
02/25/2025,"47.75","47.80","47.50","47.50","800"
02/24/2025,"47.70","47.70","47.70","47.70","200"
02/21/2025,"47.70","47.70","47.70","47.70","200"
02/20/2025,"47.00","47.00","46.00","46.00","10,600"
02/19/2025,"46.05","46.05","46.00","46.00","10,100"
02/18/2025,"47.80","47.80","47.80","47.80","100"
02/17/2025,"47.90","47.95","46.00","46.00","20,700"
02/14/2025,"47.95","47.95","47.95","47.95","1,500"
02/13/2025,"48.25","48.25","45.95","45.95","17,300"
02/12/2025,"48.25","48.25","46.00","46.00","15,000"
02/11/2025,"48.45","48.50","46.00","46.00","35,300"
02/10/2025,"48.50","48.50","48.05","48.10","1,100"
02/07/2025,"47.00","47.00","46.00","46.00","43,200"
02/05/2025,"47.90","47.90","47.90","47.90","10,900"
02/03/2025,"47.95","47.95","47.95","47.95","1,700"
01/31/2025,"47.00","47.00","46.00","46.00","11,300"
01/30/2025,"48.00","48.00","46.00","47.95","9,700"
01/28/2025,"47.95","48.00","47.00","47.00","33,200"
01/27/2025,"48.75","48.75","48.00","48.00","17,500"
01/24/2025,"48.00","48.00","48.00","48.00","1,100"
01/23/2025,"46.75","46.75","46.00","46.00","17,900"
01/22/2025,"47.70","48.30","47.70","47.70","3,200"
01/21/2025,"48.95","48.95","48.75","48.75","1,500"
01/20/2025,"45.10","45.10","45.00","45.00","5,200"
01/17/2025,"46.00","46.00","46.00","46.00","200"
01/16/2025,"47.00","47.00","46.50","46.50","2,300"
01/14/2025,"49.00","49.00","49.00","49.00","100"
01/08/2025,"45.05","45.50","45.00","45.50","17,500"
01/07/2025,"45.50","45.50","45.50","45.50","700"
01/06/2025,"45.50","45.50","45.50","45.50","11,800"
01/03/2025,"49.00","49.00","45.50","45.50","73,700"
01/02/2025,"49.00","49.00","49.00","49.00","1,000"
