Date,Open,High,Low,Close,Volume
12/31/2021,"53.40","53.40","53.40","53.40","4,000"
12/29/2021,"53.50","53.50","53.00","53.35","53,990"
12/28/2021,"53.50","53.50","53.20","53.20","15,400"
12/27/2021,"53.10","53.10","53.10","53.10","8,600"
12/24/2021,"53.50","53.50","53.50","53.50","190"
12/23/2021,"53.00","53.00","53.00","53.00","1,000"
12/22/2021,"53.20","53.50","53.20","53.50","4,000"
12/21/2021,"53.00","53.70","52.15","52.15","8,170"
12/20/2021,"53.60","53.60","52.15","52.15","55,960"
12/17/2021,"53.00","53.00","52.40","52.40","10,530"
12/16/2021,"52.00","52.50","52.00","52.00","84,000"
12/15/2021,"52.00","52.00","51.50","52.00","61,820"
12/14/2021,"50.20","55.00","50.20","52.00","91,770"
