Date,Open,High,Low,Close,Volume
12/29/2020,"6.384","6.500","6.278","6.404","4,665,779"
12/28/2020,"6.645","6.645","6.375","6.384","6,689,928"
12/23/2020,"6.462","6.751","6.278","6.722","9,190,849"
12/22/2020,"6.944","6.944","6.384","6.462","20,017,213"
12/21/2020,"7.223","7.378","6.944","6.944","11,973,186"
12/18/2020,"7.156","7.223","6.895","7.194","5,163,599"
12/17/2020,"7.378","7.522","7.040","7.175","7,276,093"
12/16/2020,"7.426","7.474","7.223","7.329","5,524,961"
12/15/2020,"7.137","7.416","7.127","7.397","8,415,863"
12/14/2020,"6.867","7.088","6.828","7.040","5,159,140"
12/11/2020,"6.886","6.895","6.722","6.828","2,854,195"
12/10/2020,"6.895","6.953","6.712","6.770","6,390,262"
12/09/2020,"6.510","6.886","6.510","6.867","21,116,336"
12/07/2020,"6.606","6.645","6.481","6.500","4,502,362"
12/04/2020,"6.462","6.558","6.375","6.558","4,572,457"
12/03/2020,"6.462","6.645","6.365","6.442","3,633,536"
12/02/2020,"6.732","6.838","6.442","6.442","6,819,749"
12/01/2020,"6.654","6.732","6.365","6.722","3,486,502"
11/27/2020,"6.269","6.606","6.182","6.548","3,337,291"
11/26/2020,"6.751","6.809","6.172","6.317","9,959,509"
11/25/2020,"7.050","7.108","6.674","6.751","6,740,322"
11/24/2020,"7.059","7.223","6.770","6.992","10,292,150"
11/23/2020,"6.654","7.040","6.635","7.011","8,832,700"
11/20/2020,"6.442","6.645","6.423","6.558","10,265,397"
11/19/2020,"6.143","6.452","6.143","6.423","12,908,996"
11/18/2020,"6.220","6.230","5.979","6.124","8,171,671"
11/17/2020,"6.317","6.404","6.220","6.249","7,051,810"
11/16/2020,"6.365","6.490","6.220","6.462","5,559,490"
11/13/2020,"6.269","6.548","6.220","6.346","10,017,473"
11/11/2020,"5.960","6.269","5.796","6.259","16,766,297"
11/10/2020,"5.565","5.883","5.410","5.883","10,159,633"
11/09/2020,"5.642","5.671","5.507","5.526","9,220,815"
11/06/2020,"5.651","5.709","5.487","5.507","6,916,078"
11/05/2020,"5.324","5.516","5.266","5.516","5,053,790"
11/04/2020,"5.179","5.285","5.160","5.256","1,571,124"
11/03/2020,"5.295","5.314","5.140","5.188","991,181"
10/30/2020,"5.073","5.314","5.034","5.246","2,255,795"
10/29/2020,"5.140","5.208","5.073","5.102","2,806,290"
10/28/2020,"5.304","5.304","5.198","5.246","3,678,953"
10/27/2020,"5.401","5.468","5.227","5.352","7,401,663"
10/26/2020,"5.439","5.526","5.324","5.401","1,910,090"
10/23/2020,"5.343","5.468","5.343","5.401","2,208,512"
10/22/2020,"5.487","5.487","5.285","5.314","3,250,398"
10/21/2020,"5.622","5.786","5.352","5.459","7,232,232"
10/20/2020,"5.227","5.545","5.208","5.545","5,858,639"
10/19/2020,"5.111","5.227","5.111","5.179","3,440,878"
10/16/2020,"5.092","5.150","5.063","5.102","3,113,734"
10/15/2020,"5.034","5.092","4.996","5.082","2,278,296"
10/14/2020,"5.092","5.150","4.976","4.976","2,235,368"
10/13/2020,"5.073","5.092","4.918","5.063","2,764,399"
10/12/2020,"5.150","5.150","5.063","5.102","1,349,952"
10/09/2020,"5.304","5.304","5.073","5.150","3,604,502"
10/08/2020,"4.899","5.256","4.899","5.188","3,794,775"
10/07/2020,"4.967","4.967","4.841","4.890","3,108,445"
10/06/2020,"5.034","5.092","4.899","4.976","3,050,482"
10/05/2020,"5.102","5.102","4.967","5.025","4,518,330"
10/02/2020,"5.256","5.256","5.063","5.102","4,538,654"
10/01/2020,"5.401","5.468","5.256","5.266","3,571,529"
09/30/2020,"5.304","5.401","5.275","5.352","7,303,778"
09/29/2020,"5.449","5.526","5.266","5.401","6,844,220"
09/28/2020,"5.603","5.603","5.468","5.497","1,601,402"
09/25/2020,"5.680","5.680","5.584","5.594","811,796"
09/24/2020,"5.545","5.709","5.449","5.632","3,497,805"
09/23/2020,"5.507","5.700","5.497","5.584","4,597,757"
09/22/2020,"5.497","5.526","5.391","5.449","3,866,426"
09/21/2020,"5.748","5.748","5.449","5.555","22,607,827"
09/18/2020,"5.796","5.796","5.690","5.738","3,230,075"
09/17/2020,"6.037","6.076","5.738","5.796","4,436,933"
09/16/2020,"5.979","6.143","5.950","5.979","11,291,419"
09/15/2020,"5.690","5.912","5.690","5.854","9,135,582"
09/14/2020,"5.497","5.507","5.449","5.459","1,274,879"
09/11/2020,"5.594","5.594","5.516","5.516","1,184,979"
09/10/2020,"5.594","5.642","5.545","5.545","662,792"
09/09/2020,"5.594","5.594","5.516","5.545","734,028"
09/08/2020,"5.536","5.680","5.536","5.545","2,703,843"
09/07/2020,"5.594","5.642","5.497","5.516","791,265"
09/04/2020,"5.295","5.632","5.217","5.545","3,331,070"
09/03/2020,"5.449","5.468","5.304","5.352","1,186,327"
09/02/2020,"5.594","5.613","5.304","5.449","3,670,450"
09/01/2020,"5.497","5.574","5.362","5.536","811,381"
08/28/2020,"5.651","5.690","5.381","5.497","3,454,669"
08/27/2020,"5.786","5.835","5.594","5.642","1,678,755"
08/26/2020,"5.786","5.931","5.642","5.786","6,071,931"
08/25/2020,"5.507","5.757","5.507","5.757","6,882,171"
08/24/2020,"5.497","5.584","5.478","5.497","512,026"
08/20/2020,"5.594","5.642","5.430","5.497","1,589,685"
08/19/2020,"5.671","5.671","5.526","5.584","527,372"
08/18/2020,"5.709","5.709","5.497","5.671","1,259,637"
08/17/2020,"5.439","5.690","5.314","5.690","17,907,622"
