Date,Open,High,Low,Close,Volume
04/30/2025,"0.315","0.330","0.315","0.330","13,330,000"
04/29/2025,"0.320","0.320","0.315","0.320","4,780,000"
04/28/2025,"0.325","0.330","0.320","0.325","18,680,000"
04/25/2025,"0.315","0.330","0.315","0.325","20,320,000"
04/24/2025,"0.320","0.320","0.310","0.315","21,690,000"
04/23/2025,"0.315","0.320","0.310","0.320","10,060,000"
04/22/2025,"0.330","0.330","0.310","0.320","14,560,000"
04/21/2025,"0.345","0.350","0.320","0.325","40,110,000"
04/16/2025,"0.350","0.360","0.345","0.350","36,500,000"
04/15/2025,"0.350","0.355","0.345","0.350","20,170,000"
04/14/2025,"0.335","0.360","0.335","0.345","63,630,000"
04/11/2025,"0.335","0.340","0.325","0.335","54,520,000"
04/10/2025,"0.315","0.345","0.315","0.335","161,520,000"
04/08/2025,"0.300","0.320","0.280","0.300","326,860,000"
