Date,Open,High,Low,Close,Volume
12/27/2024,"0.660","0.690","0.650","0.680","146,000"
12/26/2024,"0.670","0.700","0.640","0.700","112,000"
12/23/2024,"0.710","0.710","0.660","0.680","242,000"
12/20/2024,"0.690","0.690","0.670","0.690","120,000"
12/19/2024,"0.690","0.690","0.670","0.690","122,000"
12/18/2024,"0.700","0.700","0.700","0.700","1,000"
12/17/2024,"0.690","0.690","0.670","0.680","127,000"
12/16/2024,"0.670","0.710","0.660","0.680","20,000"
12/13/2024,"0.700","0.700","0.670","0.670","975,000"
12/12/2024,"0.700","0.700","0.670","0.700","17,000"
12/11/2024,"0.690","0.690","0.670","0.690","18,000"
12/10/2024,"0.680","0.700","0.680","0.690","709,000"
12/09/2024,"0.710","0.710","0.650","0.680","519,000"
12/06/2024,"0.700","0.700","0.680","0.690","229,000"
12/05/2024,"0.780","0.780","0.690","0.700","1,639,000"
12/04/2024,"0.760","0.760","0.680","0.720","427,000"
12/03/2024,"0.740","0.740","0.720","0.740","19,000"
12/02/2024,"0.720","0.790","0.720","0.740","122,000"
11/29/2024,"0.760","0.780","0.760","0.780","31,000"
11/28/2024,"0.760","0.760","0.760","0.760","6,000"
11/27/2024,"0.760","0.760","0.760","0.760","4,000"
11/26/2024,"0.780","0.780","0.710","0.750","103,000"
11/25/2024,"0.790","0.790","0.750","0.780","27,000"
11/22/2024,"0.790","0.790","0.790","0.790","5,000"
11/21/2024,"0.800","0.800","0.750","0.790","24,000"
11/20/2024,"0.800","0.800","0.730","0.780","45,000"
11/19/2024,"0.780","0.800","0.770","0.770","22,000"
11/18/2024,"0.730","0.780","0.730","0.780","31,000"
11/15/2024,"0.800","0.800","0.730","0.770","45,000"
11/14/2024,"0.810","0.810","0.760","0.760","58,000"
11/13/2024,"0.780","0.780","0.760","0.780","57,000"
11/12/2024,"0.780","0.780","0.780","0.780","33,000"
11/11/2024,"0.760","0.780","0.760","0.780","15,000"
11/08/2024,"0.800","0.800","0.750","0.770","95,000"
11/07/2024,"0.760","0.780","0.750","0.770","29,000"
11/06/2024,"0.770","0.780","0.760","0.780","6,000"
11/05/2024,"0.800","0.800","0.790","0.790","28,000"
11/04/2024,"0.810","0.810","0.780","0.790","118,000"
10/31/2024,"0.790","0.810","0.790","0.810","40,000"
10/30/2024,"0.750","0.790","0.750","0.780","43,000"
10/29/2024,"0.780","0.790","0.740","0.790","37,000"
10/28/2024,"0.780","0.780","0.770","0.780","36,000"
10/25/2024,"0.770","0.780","0.750","0.780","158,000"
10/24/2024,"0.780","0.780","0.750","0.760","98,000"
10/23/2024,"0.780","0.780","0.770","0.770","28,000"
10/22/2024,"0.770","0.780","0.760","0.780","76,000"
10/21/2024,"0.760","0.790","0.760","0.780","41,000"
10/18/2024,"0.790","0.790","0.770","0.770","192,000"
10/17/2024,"0.780","0.780","0.780","0.780","14,000"
10/16/2024,"0.770","0.790","0.770","0.780","45,000"
10/15/2024,"0.780","0.780","0.780","0.780","35,000"
10/14/2024,"0.770","0.780","0.770","0.780","30,000"
10/11/2024,"0.770","0.770","0.770","0.770","24,000"
10/10/2024,"0.780","0.780","0.770","0.770","116,000"
10/09/2024,"0.780","0.780","0.770","0.780","134,000"
10/08/2024,"0.800","0.800","0.780","0.780","207,000"
10/07/2024,"0.800","0.800","0.760","0.770","384,000"
10/04/2024,"0.810","0.810","0.780","0.800","561,000"
10/03/2024,"0.820","0.820","0.790","0.790","239,000"
10/02/2024,"0.820","0.820","0.790","0.790","179,000"
10/01/2024,"0.820","0.830","0.790","0.800","373,000"
09/30/2024,"0.820","0.830","0.790","0.810","44,000"
09/27/2024,"0.820","0.830","0.790","0.800","95,000"
09/26/2024,"0.800","0.820","0.800","0.820","181,000"
09/25/2024,"0.820","0.830","0.790","0.820","115,000"
09/24/2024,"0.820","0.820","0.780","0.800","54,000"
09/23/2024,"0.800","0.800","0.770","0.800","157,000"
09/20/2024,"0.820","0.820","0.790","0.800","96,000"
09/19/2024,"0.820","0.820","0.800","0.800","208,000"
09/18/2024,"0.810","0.820","0.790","0.800","170,000"
09/17/2024,"0.830","0.830","0.800","0.800","90,000"
09/16/2024,"0.850","0.850","0.800","0.800","1,621,000"
09/13/2024,"0.850","0.850","0.840","0.840","17,000"
09/12/2024,"0.830","0.860","0.830","0.840","113,000"
09/11/2024,"0.820","0.840","0.820","0.840","9,000"
09/10/2024,"0.840","0.840","0.820","0.820","119,000"
09/09/2024,"0.830","0.840","0.810","0.810","68,000"
09/06/2024,"0.820","0.840","0.800","0.830","837,000"
09/05/2024,"0.850","0.850","0.810","0.830","217,000"
09/04/2024,"0.840","0.870","0.820","0.830","910,000"
09/03/2024,"0.880","0.880","0.880","0.880","15,000"
09/02/2024,"0.880","0.880","0.870","0.880","9,000"
08/30/2024,"0.850","0.880","0.850","0.880","54,000"
08/29/2024,"0.850","0.880","0.850","0.880","558,000"
08/28/2024,"0.890","0.890","0.850","0.880","98,000"
08/27/2024,"0.900","0.900","0.860","0.880","135,000"
08/22/2024,"0.880","0.890","0.870","0.880","34,000"
08/21/2024,"0.880","0.890","0.870","0.890","109,000"
08/20/2024,"0.880","0.900","0.880","0.880","62,000"
08/19/2024,"0.870","0.890","0.840","0.880","86,000"
08/16/2024,"0.870","0.890","0.870","0.880","22,000"
08/15/2024,"0.850","0.880","0.850","0.860","134,000"
08/14/2024,"0.900","0.900","0.860","0.880","216,000"
08/13/2024,"0.900","0.900","0.870","0.880","29,000"
08/09/2024,"0.860","0.900","0.860","0.900","26,000"
08/08/2024,"0.900","0.900","0.860","0.880","58,000"
08/07/2024,"0.900","0.900","0.900","0.900","7,000"
08/06/2024,"0.880","0.890","0.870","0.880","19,000"
08/05/2024,"0.880","0.940","0.870","0.870","225,000"
08/02/2024,"0.920","0.920","0.900","0.900","31,000"
08/01/2024,"0.920","0.930","0.890","0.930","22,000"
07/31/2024,"0.930","0.940","0.890","0.890","133,000"
07/30/2024,"0.920","0.990","0.920","0.930","28,000"
07/29/2024,"0.910","0.910","0.910","0.910","32,000"
