Date,Open,High,Low,Close,Volume
04/30/2025,"0.890","0.890","0.890","0.890","2,000"
04/29/2025,"0.890","0.890","0.890","0.890","2,000"
04/28/2025,"0.880","0.890","0.870","0.890","143,000"
04/25/2025,"0.870","0.880","0.860","0.880","49,000"
04/24/2025,"0.850","0.870","0.850","0.870","113,000"
04/23/2025,"0.850","0.850","0.840","0.850","139,000"
04/22/2025,"0.850","0.860","0.850","0.860","423,000"
04/21/2025,"0.870","0.870","0.860","0.870","17,000"
04/16/2025,"0.870","0.870","0.870","0.870","10,000"
04/15/2025,"0.870","0.870","0.870","0.870","86,000"
04/14/2025,"0.850","0.860","0.850","0.860","440,000"
04/11/2025,"0.850","0.850","0.850","0.850","2,000"
04/10/2025,"0.880","0.880","0.860","0.860","119,000"
04/08/2025,"0.850","0.880","0.850","0.880","23,000"
04/07/2025,"0.870","0.870","0.850","0.850","134,000"
04/04/2025,"0.870","0.870","0.860","0.870","617,000"
04/03/2025,"0.870","0.870","0.860","0.870","164,000"
04/02/2025,"0.870","0.880","0.860","0.870","965,000"
03/31/2025,"0.900","0.900","0.880","0.880","148,000"
03/28/2025,"0.900","0.900","0.870","0.880","704,000"
03/27/2025,"0.900","0.940","0.890","0.900","977,000"
03/26/2025,"0.980","0.980","0.900","0.900","646,000"
03/25/2025,"0.920","0.920","0.890","0.900","725,000"
03/24/2025,"0.990","0.990","0.900","0.920","981,000"
03/21/2025,"1.250","1.250","1.160","1.230","2,163,000"
03/20/2025,"1.160","1.280","1.160","1.240","2,147,000"
03/19/2025,"1.160","1.170","1.150","1.170","482,000"
03/18/2025,"1.160","1.160","1.140","1.150","788,000"
03/17/2025,"1.150","1.170","1.140","1.140","518,000"
03/14/2025,"1.160","1.160","1.100","1.150","195,000"
03/13/2025,"1.100","1.170","1.090","1.170","545,000"
03/12/2025,"1.150","1.150","1.100","1.100","265,000"
03/11/2025,"1.160","1.170","1.110","1.120","15,721,000"
03/10/2025,"1.080","1.150","1.050","1.140","809,000"
03/07/2025,"1.070","1.130","1.040","1.080","969,000"
03/06/2025,"1.110","1.140","1.050","1.100","3,257,000"
03/05/2025,"1.230","1.230","1.130","1.130","3,062,000"
03/04/2025,"1.050","1.290","1.050","1.190","10,388,000"
02/27/2025,"0.900","0.900","0.860","0.890","23,000"
02/25/2025,"0.870","0.920","0.870","0.910","87,000"
02/24/2025,"0.830","0.830","0.830","0.830","5,000"
02/21/2025,"0.860","0.900","0.850","0.850","531,000"
02/20/2025,"0.920","0.920","0.900","0.900","65,000"
02/19/2025,"0.830","0.940","0.800","0.940","1,110,000"
02/18/2025,"0.790","0.830","0.790","0.830","339,000"
02/17/2025,"0.780","0.780","0.780","0.780","80,000"
02/14/2025,"0.780","0.780","0.780","0.780","87,000"
02/13/2025,"0.730","0.780","0.730","0.770","433,000"
02/12/2025,"0.760","0.760","0.740","0.740","100,000"
02/11/2025,"0.730","0.770","0.730","0.740","210,000"
02/10/2025,"0.730","0.730","0.730","0.730","65,000"
02/07/2025,"0.700","0.780","0.700","0.710","311,000"
02/06/2025,"0.770","0.780","0.770","0.780","180,000"
02/05/2025,"0.720","0.780","0.720","0.780","133,000"
02/04/2025,"0.700","0.700","0.700","0.700","201,000"
02/03/2025,"0.700","0.710","0.700","0.710","11,000"
01/30/2025,"0.710","0.710","0.710","0.710","1,000"
01/28/2025,"0.740","0.740","0.730","0.730","73,000"
01/27/2025,"0.760","0.760","0.760","0.760","40,000"
01/24/2025,"0.740","0.770","0.680","0.680","475,000"
01/23/2025,"0.770","0.770","0.770","0.770","65,000"
01/22/2025,"0.780","0.790","0.780","0.780","66,000"
01/21/2025,"0.770","0.790","0.730","0.730","75,000"
01/20/2025,"0.740","0.790","0.740","0.770","73,000"
01/17/2025,"0.730","0.770","0.710","0.710","93,000"
01/16/2025,"0.710","0.710","0.710","0.710","3,000"
01/15/2025,"0.710","0.710","0.710","0.710","10,000"
01/13/2025,"0.710","0.770","0.700","0.700","80,238,000"
01/10/2025,"0.790","0.790","0.790","0.790","63,000"
01/09/2025,"0.790","0.790","0.790","0.790","12,000"
01/03/2025,"0.790","0.800","0.790","0.800","25,000"
01/02/2025,"0.790","0.800","0.790","0.800","11,000"
