Date,Open,High,Low,Close,Volume
04/30/2025,"1.670","1.670","1.650","1.670","24,000"
04/29/2025,"1.670","1.670","1.610","1.670","2,316,000"
04/28/2025,"1.650","1.670","1.610","1.670","226,000"
04/25/2025,"1.680","1.680","1.650","1.650","2,089,000"
04/24/2025,"1.680","1.680","1.650","1.680","425,000"
04/23/2025,"1.660","1.680","1.660","1.660","104,000"
04/22/2025,"1.680","1.680","1.660","1.680","339,000"
04/21/2025,"1.680","1.680","1.660","1.680","734,000"
04/16/2025,"1.660","1.700","1.660","1.700","191,000"
04/15/2025,"1.680","1.680","1.660","1.680","36,000"
04/14/2025,"1.690","1.690","1.660","1.680","76,000"
04/11/2025,"1.690","1.700","1.660","1.690","56,000"
04/10/2025,"1.660","1.700","1.660","1.690","850,000"
04/08/2025,"1.660","1.700","1.660","1.660","2,031,000"
04/07/2025,"1.710","1.710","1.660","1.680","2,292,000"
04/04/2025,"1.710","1.730","1.680","1.710","195,000"
04/03/2025,"1.660","1.710","1.660","1.710","2,392,000"
04/02/2025,"1.700","1.700","1.660","1.700","910,000"
03/31/2025,"1.660","1.700","1.660","1.700","1,669,000"
03/28/2025,"1.650","1.660","1.620","1.650","1,916,000"
03/27/2025,"1.650","1.660","1.610","1.650","976,000"
03/26/2025,"1.600","1.690","1.600","1.650","2,373,000"
03/25/2025,"1.550","1.670","1.550","1.600","3,802,000"
03/24/2025,"1.580","1.580","1.540","1.560","172,000"
03/21/2025,"1.560","1.580","1.550","1.570","19,433,000"
03/20/2025,"1.560","1.560","1.530","1.560","634,000"
03/19/2025,"1.540","1.560","1.530","1.560","244,000"
03/18/2025,"1.540","1.560","1.540","1.540","4,736,000"
03/17/2025,"1.550","1.560","1.520","1.540","4,881,000"
03/14/2025,"1.510","1.550","1.510","1.530","831,000"
03/13/2025,"1.530","1.530","1.500","1.510","241,000"
03/12/2025,"1.550","1.550","1.500","1.540","581,000"
03/11/2025,"1.530","1.550","1.520","1.550","101,000"
03/10/2025,"1.510","1.570","1.510","1.550","809,000"
03/07/2025,"1.510","1.540","1.510","1.540","143,000"
03/06/2025,"1.510","1.540","1.500","1.540","787,000"
03/05/2025,"1.530","1.530","1.500","1.530","203,000"
03/04/2025,"1.500","1.530","1.490","1.500","406,000"
03/03/2025,"1.520","1.530","1.490","1.520","391,000"
02/28/2025,"1.490","1.520","1.490","1.520","50,000"
02/27/2025,"1.520","1.520","1.490","1.520","585,000"
02/26/2025,"1.510","1.520","1.500","1.520","94,000"
02/25/2025,"1.500","1.520","1.500","1.520","738,000"
02/24/2025,"1.530","1.530","1.510","1.530","188,000"
02/21/2025,"1.500","1.530","1.500","1.530","70,000"
02/20/2025,"1.520","1.530","1.500","1.510","149,000"
02/19/2025,"1.490","1.520","1.490","1.520","621,000"
02/18/2025,"1.500","1.530","1.490","1.530","1,450,000"
02/17/2025,"1.540","1.540","1.490","1.500","1,847,000"
02/14/2025,"1.540","1.540","1.510","1.530","642,000"
02/13/2025,"1.520","1.540","1.520","1.540","327,000"
02/12/2025,"1.530","1.530","1.510","1.520","460,000"
02/11/2025,"1.530","1.530","1.500","1.520","550,000"
02/10/2025,"1.540","1.540","1.500","1.530","473,000"
02/07/2025,"1.530","1.540","1.520","1.540","102,000"
02/06/2025,"1.510","1.540","1.490","1.530","702,000"
02/05/2025,"1.500","1.500","1.490","1.500","55,000"
02/04/2025,"1.480","1.500","1.480","1.500","395,000"
02/03/2025,"1.500","1.520","1.480","1.480","1,829,000"
01/31/2025,"1.510","1.530","1.500","1.500","1,081,000"
01/30/2025,"1.530","1.530","1.510","1.520","155,000"
01/28/2025,"1.530","1.530","1.510","1.530","161,000"
01/27/2025,"1.530","1.530","1.510","1.530","144,000"
01/24/2025,"1.510","1.530","1.510","1.530","63,000"
01/23/2025,"1.540","1.540","1.510","1.510","810,000"
01/22/2025,"1.510","1.540","1.510","1.540","16,000"
01/21/2025,"1.540","1.540","1.510","1.540","688,000"
01/20/2025,"1.540","1.550","1.520","1.540","680,000"
01/17/2025,"1.520","1.550","1.520","1.540","458,000"
01/16/2025,"1.530","1.550","1.510","1.520","1,223,000"
01/15/2025,"1.540","1.550","1.530","1.530","13,000"
01/14/2025,"1.550","1.550","1.520","1.540","120,000"
01/13/2025,"1.520","1.560","1.520","1.540","609,000"
01/10/2025,"1.520","1.540","1.520","1.540","60,000"
01/09/2025,"1.550","1.550","1.510","1.540","61,000"
01/08/2025,"1.540","1.540","1.510","1.510","491,000"
01/07/2025,"1.540","1.540","1.500","1.520","663,000"
01/06/2025,"1.520","1.540","1.510","1.520","1,215,000"
01/03/2025,"1.520","1.520","1.500","1.510","1,828,000"
01/02/2025,"1.500","1.510","1.480","1.510","143,000"
