Date,Open,High,Low,Close,Volume
12/27/2024,"102.50","102.50","102.50","102.50","900"
12/23/2024,"101.50","101.50","100.10","100.10","480"
12/19/2024,"101.40","101.40","101.40","101.40","2,500"
12/18/2024,"102.50","102.50","101.40","101.40","5,080"
12/17/2024,"102.50","102.50","102.50","102.50","80"
12/16/2024,"102.80","102.80","100.00","101.40","5,700"
12/13/2024,"102.80","102.80","102.80","102.80","80"
12/12/2024,"102.70","102.80","102.70","102.80","280"
12/11/2024,"102.70","102.80","102.70","102.80","80"
12/10/2024,"102.80","102.80","102.80","102.80","90"
12/09/2024,"102.90","102.90","102.90","102.90","80"
12/06/2024,"103.00","103.00","101.20","101.20","1,180"
12/05/2024,"101.20","103.00","101.20","103.00","220"
12/04/2024,"102.70","103.00","102.70","103.00","580"
12/03/2024,"102.00","103.00","102.00","102.70","390"
12/02/2024,"102.00","102.00","102.00","102.00","390"
11/29/2024,"101.20","101.20","101.10","101.10","1,280"
11/28/2024,"101.10","101.10","101.10","101.10","1,100"
11/27/2024,"101.10","101.10","101.10","101.10","190"
11/26/2024,"102.50","102.50","102.50","102.50","80"
11/25/2024,"102.80","102.80","102.80","102.80","80"
11/22/2024,"102.80","102.80","102.80","102.80","80"
11/20/2024,"102.80","102.80","102.80","102.80","80"
11/18/2024,"101.00","101.00","101.00","101.00","500"
11/15/2024,"100.20","100.20","100.20","100.20","50"
11/14/2024,"101.10","101.10","100.00","100.00","3,020"
11/13/2024,"102.80","102.80","102.70","102.70","230"
11/11/2024,"102.80","102.80","102.80","102.80","80"
11/07/2024,"101.00","102.80","100.00","102.80","10,080"
11/06/2024,"102.00","102.00","102.00","102.00","400"
11/05/2024,"102.80","102.80","102.80","102.80","180"
11/04/2024,"103.00","103.00","103.00","103.00","80"
10/31/2024,"102.00","103.00","101.00","103.00","1,510"
10/30/2024,"102.00","102.00","102.00","102.00","600"
10/29/2024,"103.00","103.00","103.00","103.00","580"
10/28/2024,"103.00","103.00","103.00","103.00","1,350"
10/25/2024,"103.00","103.00","102.90","102.90","6,790"
10/24/2024,"102.00","102.00","102.00","102.00","110"
10/23/2024,"102.80","102.80","102.00","102.00","1,080"
10/22/2024,"103.40","103.40","103.40","103.40","130"
10/21/2024,"103.00","103.00","103.00","103.00","80"
10/18/2024,"102.80","103.50","102.80","103.50","480"
10/17/2024,"102.80","102.80","102.80","102.80","80"
10/16/2024,"103.00","103.00","102.80","103.00","5,170"
10/15/2024,"103.40","103.40","102.70","103.00","780"
10/14/2024,"102.00","103.40","102.00","103.40","280"
10/11/2024,"102.00","102.00","102.00","102.00","690"
10/10/2024,"102.00","102.00","101.00","101.00","2,700"
10/08/2024,"101.00","101.10","101.00","101.00","1,600"
10/07/2024,"100.50","101.00","100.50","101.00","7,310"
10/04/2024,"100.00","102.80","100.00","100.50","16,860"
