Date,Open,High,Low,Close,Volume
04/30/2025,"1.810","2.080","1.810","2.060","10,864,000"
04/29/2025,"1.870","1.870","1.810","1.860","2,426,000"
04/28/2025,"1.750","1.860","1.750","1.860","524,000"
04/25/2025,"1.750","1.870","1.750","1.800","1,929,000"
04/24/2025,"1.750","1.820","1.750","1.790","2,026,000"
04/23/2025,"1.700","1.820","1.660","1.750","1,329,000"
04/22/2025,"1.690","1.730","1.560","1.710","1,681,000"
04/21/2025,"1.850","1.850","1.650","1.670","1,694,000"
04/16/2025,"1.820","1.890","1.820","1.860","1,086,000"
04/15/2025,"1.830","1.840","1.800","1.810","661,000"
04/14/2025,"1.850","1.850","1.790","1.850","697,000"
04/11/2025,"1.830","1.870","1.790","1.830","983,000"
04/10/2025,"1.920","1.970","1.800","1.850","3,503,000"
04/08/2025,"1.850","2.030","1.850","1.870","6,951,000"
04/07/2025,"2.370","2.370","1.780","1.800","5,715,000"
04/04/2025,"2.630","2.630","2.300","2.440","4,456,000"
04/03/2025,"2.680","2.770","2.540","2.670","16,844,000"
04/02/2025,"2.470","2.670","2.400","2.620","5,001,000"
03/31/2025,"2.340","2.520","2.220","2.470","7,373,000"
03/28/2025,"2.260","2.400","2.260","2.340","1,448,000"
03/27/2025,"2.340","2.380","2.130","2.260","7,816,000"
03/26/2025,"2.390","2.680","2.380","2.380","13,832,000"
03/25/2025,"2.300","2.450","2.120","2.360","14,988,000"
03/24/2025,"2.910","2.960","2.310","2.310","37,274,000"
03/21/2025,"3.380","3.400","3.150","3.290","4,577,000"
03/20/2025,"3.380","3.530","3.120","3.330","11,132,000"
03/19/2025,"3.100","3.490","3.100","3.380","16,893,000"
03/18/2025,"2.440","3.130","2.440","3.050","20,760,000"
03/17/2025,"2.650","2.660","2.420","2.420","3,726,000"
03/14/2025,"2.590","2.740","2.400","2.660","8,417,000"
03/13/2025,"2.930","2.970","2.560","2.560","12,026,000"
03/12/2025,"2.480","2.930","2.420","2.910","23,852,000"
03/11/2025,"1.900","2.340","1.900","2.300","18,165,000"
03/10/2025,"1.670","1.940","1.610","1.900","6,838,000"
03/07/2025,"1.390","1.670","1.350","1.660","6,230,000"
03/06/2025,"1.330","1.420","1.240","1.390","3,554,000"
03/05/2025,"1.250","1.330","1.240","1.280","547,000"
03/04/2025,"1.080","1.250","1.070","1.240","483,000"
03/03/2025,"1.080","1.120","1.070","1.110","239,000"
02/28/2025,"1.130","1.130","1.050","1.120","211,000"
02/27/2025,"1.130","1.140","1.020","1.140","231,000"
02/26/2025,"1.180","1.180","1.150","1.150","64,000"
02/25/2025,"1.160","1.210","1.130","1.180","260,000"
02/24/2025,"1.170","1.180","1.150","1.160","374,000"
02/21/2025,"1.180","1.220","1.150","1.190","719,000"
02/20/2025,"1.240","1.240","1.180","1.180","209,000"
02/19/2025,"1.180","1.250","1.180","1.240","88,000"
02/18/2025,"1.200","1.250","1.200","1.200","944,000"
02/17/2025,"1.250","1.250","1.140","1.190","528,000"
02/14/2025,"1.300","1.300","1.230","1.250","33,000"
02/13/2025,"1.340","1.350","1.060","1.260","496,000"
02/12/2025,"1.280","1.330","1.250","1.330","227,000"
02/11/2025,"1.350","1.360","1.270","1.270","70,000"
02/10/2025,"1.320","1.360","1.250","1.300","428,000"
02/07/2025,"1.340","1.340","1.290","1.320","198,000"
02/06/2025,"1.350","1.350","1.290","1.340","63,000"
02/05/2025,"1.260","1.340","1.250","1.290","85,000"
02/04/2025,"1.320","1.340","1.280","1.280","443,000"
02/03/2025,"1.250","1.320","1.250","1.300","113,000"
01/31/2025,"1.320","1.320","1.240","1.320","397,000"
01/30/2025,"1.300","1.320","1.300","1.300","667,000"
01/28/2025,"1.260","1.300","1.250","1.300","513,000"
01/27/2025,"1.340","1.340","1.280","1.300","551,000"
01/24/2025,"1.300","1.340","1.300","1.300","1,122,000"
01/23/2025,"1.280","1.330","1.280","1.300","437,000"
01/22/2025,"1.290","1.340","1.260","1.280","679,000"
01/21/2025,"1.320","1.320","1.290","1.290","200,000"
01/20/2025,"1.340","1.350","1.290","1.290","1,049,000"
01/17/2025,"1.370","1.390","1.300","1.340","954,000"
01/16/2025,"1.390","1.400","1.350","1.390","565,000"
01/15/2025,"1.390","1.420","1.320","1.320","656,000"
01/14/2025,"1.440","1.440","1.300","1.360","1,386,000"
01/13/2025,"1.420","1.420","1.400","1.400","77,000"
01/10/2025,"1.400","1.420","1.330","1.420","563,000"
01/09/2025,"1.440","1.440","1.360","1.400","336,000"
01/08/2025,"1.350","1.450","1.330","1.340","638,000"
01/07/2025,"1.320","1.350","1.310","1.350","396,000"
01/06/2025,"1.320","1.350","1.300","1.310","335,000"
01/03/2025,"1.370","1.380","1.310","1.310","621,000"
01/02/2025,"1.380","1.380","1.380","1.380","7,000"
