Date,Open,High,Low,Close,Volume
12/29/2020,"17.06","17.20","16.90","16.90","4,557,400"
12/28/2020,"17.50","17.50","16.82","16.98","1,070,300"
12/23/2020,"17.40","17.50","17.10","17.44","201,500"
12/22/2020,"17.90","17.90","17.32","17.78","400,100"
12/21/2020,"17.02","17.98","17.00","17.98","1,325,600"
12/18/2020,"17.00","17.10","16.96","16.96","881,900"
12/17/2020,"17.30","17.30","17.00","17.00","420,400"
12/16/2020,"17.40","17.40","17.20","17.30","607,600"
12/15/2020,"17.10","17.40","17.10","17.38","938,800"
12/14/2020,"17.70","17.70","17.10","17.10","1,123,900"
12/11/2020,"17.70","17.78","17.64","17.70","1,471,500"
12/10/2020,"18.00","18.00","17.70","17.74","667,000"
12/09/2020,"18.04","18.22","17.96","18.00","1,661,700"
12/07/2020,"17.76","18.08","17.76","18.04","2,188,600"
12/04/2020,"17.90","18.00","17.70","17.82","2,180,600"
12/03/2020,"18.00","18.00","17.60","17.70","1,010,200"
12/02/2020,"17.98","18.04","17.88","17.98","2,353,100"
12/01/2020,"17.70","17.98","17.60","17.88","1,991,200"
11/27/2020,"16.80","18.00","16.70","18.00","6,705,100"
11/26/2020,"17.50","17.50","16.68","16.80","2,090,600"
11/25/2020,"16.98","17.60","16.98","17.50","5,310,500"
11/24/2020,"16.00","16.92","16.00","16.70","4,793,300"
11/23/2020,"16.00","16.04","15.94","15.98","2,140,100"
11/20/2020,"16.00","16.04","15.98","16.00","2,252,700"
11/19/2020,"15.80","16.12","15.80","16.00","3,654,800"
11/18/2020,"16.00","16.02","15.74","15.76","1,056,600"
11/17/2020,"16.00","16.00","15.90","15.98","3,446,700"
11/16/2020,"15.60","15.98","15.58","15.94","2,780,800"
11/13/2020,"15.46","15.80","15.46","15.56","2,039,000"
11/11/2020,"15.80","15.88","15.40","15.46","2,433,800"
11/10/2020,"15.80","15.88","15.72","15.78","2,963,700"
11/09/2020,"15.50","15.82","15.46","15.60","2,970,800"
11/06/2020,"15.50","15.82","15.12","15.50","5,749,900"
11/05/2020,"15.20","15.62","15.10","15.38","13,356,700"
11/04/2020,"14.82","15.14","14.82","15.02","6,587,600"
11/03/2020,"14.40","14.94","14.40","14.70","5,228,500"
10/30/2020,"14.50","14.50","14.30","14.30","5,403,500"
10/29/2020,"14.76","14.76","14.26","14.34","6,465,600"
10/28/2020,"14.84","14.96","14.80","14.80","2,491,400"
10/27/2020,"14.94","15.00","14.84","14.84","4,560,600"
10/26/2020,"15.06","15.20","14.92","14.94","5,711,300"
10/23/2020,"15.30","15.32","15.04","15.04","8,285,100"
10/22/2020,"15.68","15.76","15.16","15.30","3,816,900"
10/21/2020,"15.12","15.50","15.12","15.34","3,484,100"
10/20/2020,"15.10","15.38","15.10","15.10","5,036,600"
10/19/2020,"15.12","15.30","15.10","15.18","2,277,500"
10/16/2020,"15.32","15.36","15.26","15.30","328,800"
10/15/2020,"15.30","15.40","15.30","15.32","2,504,700"
10/14/2020,"15.44","15.46","15.34","15.34","2,901,900"
10/13/2020,"15.44","15.56","15.44","15.46","443,600"
10/12/2020,"15.42","15.58","15.42","15.52","2,021,100"
10/09/2020,"15.52","15.52","15.38","15.42","1,699,000"
10/08/2020,"15.70","15.70","15.50","15.60","1,020,900"
10/07/2020,"15.62","15.74","15.62","15.68","493,400"
10/06/2020,"15.82","15.82","15.62","15.62","333,700"
10/05/2020,"15.84","15.88","15.82","15.82","227,700"
10/02/2020,"15.82","15.86","15.82","15.84","212,000"
10/01/2020,"15.98","16.00","15.80","15.92","706,800"
09/30/2020,"15.70","16.00","15.70","16.00","1,175,300"
09/29/2020,"15.80","15.84","15.70","15.70","168,400"
09/28/2020,"15.74","15.90","15.70","15.90","511,000"
09/25/2020,"15.80","15.80","15.70","15.80","1,062,900"
09/24/2020,"15.80","15.90","15.70","15.80","1,771,200"
09/23/2020,"15.90","15.90","15.70","15.88","606,000"
09/22/2020,"15.50","15.60","15.50","15.60","1,177,100"
09/21/2020,"15.60","15.78","15.50","15.50","2,095,300"
09/18/2020,"15.84","15.84","15.60","15.80","1,595,500"
09/17/2020,"15.90","15.90","15.60","15.60","1,062,100"
