Date,Open,High,Low,Close,Volume
12/29/2022,"0.460","0.460","0.460","0.460","20,000"
12/27/2022,"0.450","0.455","0.450","0.450","60,000"
12/22/2022,"0.440","0.440","0.440","0.440","40,000"
12/21/2022,"0.440","0.450","0.440","0.450","80,000"
12/20/2022,"0.455","0.455","0.455","0.455","50,000"
12/19/2022,"0.460","0.460","0.455","0.455","130,000"
12/16/2022,"0.460","0.460","0.460","0.460","320,000"
12/15/2022,"0.460","0.460","0.460","0.460","40,000"
12/14/2022,"0.460","0.460","0.460","0.460","60,000"
12/12/2022,"0.465","0.470","0.455","0.455","50,000"
12/09/2022,"0.460","0.460","0.460","0.460","40,000"
12/06/2022,"0.455","0.455","0.455","0.455","120,000"
12/05/2022,"0.460","0.465","0.455","0.465","150,000"
12/02/2022,"0.450","0.450","0.450","0.450","20,000"
12/01/2022,"0.455","0.455","0.450","0.455","110,000"
11/29/2022,"0.455","0.455","0.455","0.455","30,000"
11/25/2022,"0.480","0.480","0.480","0.480","20,000"
11/24/2022,"0.480","0.480","0.480","0.480","120,000"
11/22/2022,"0.460","0.480","0.460","0.480","1,060,000"
11/21/2022,"0.450","0.460","0.450","0.460","140,000"
11/18/2022,"0.445","0.445","0.445","0.445","30,000"
11/17/2022,"0.450","0.450","0.440","0.440","100,000"
11/16/2022,"0.470","0.470","0.470","0.470","80,000"
11/15/2022,"0.455","0.480","0.455","0.470","320,000"
11/14/2022,"0.455","0.475","0.455","0.475","50,000"
11/11/2022,"0.455","0.475","0.455","0.475","80,000"
11/10/2022,"0.455","0.455","0.455","0.455","300,000"
11/09/2022,"0.460","0.460","0.455","0.455","180,000"
11/04/2022,"0.460","0.465","0.460","0.460","3,000,000"
11/03/2022,"0.460","0.465","0.460","0.465","1,360,000"
11/02/2022,"0.485","0.485","0.460","0.460","190,000"
10/27/2022,"0.460","0.490","0.460","0.460","1,770,000"
10/26/2022,"0.460","0.460","0.460","0.460","1,400,000"
10/25/2022,"0.460","0.460","0.460","0.460","20,000"
10/21/2022,"0.465","0.465","0.460","0.460","320,000"
10/20/2022,"0.465","0.465","0.460","0.460","430,000"
10/19/2022,"0.475","0.475","0.475","0.475","200,000"
10/18/2022,"0.480","0.480","0.480","0.480","20,000"
10/17/2022,"0.510","0.510","0.475","0.475","170,000"
10/14/2022,"0.470","0.475","0.470","0.475","11,000"
10/13/2022,"0.495","0.500","0.495","0.500","109,000"
10/12/2022,"0.455","0.520","0.455","0.520","1,120,000"
10/11/2022,"0.440","0.440","0.440","0.440","340,000"
10/10/2022,"0.425","0.450","0.420","0.435","950,000"
10/07/2022,"0.450","0.450","0.450","0.450","10,000"
10/06/2022,"0.425","0.460","0.420","0.430","780,000"
10/05/2022,"0.450","0.450","0.450","0.450","40,000"
10/04/2022,"0.450","0.460","0.450","0.460","100,000"
10/03/2022,"0.425","0.425","0.420","0.420","110,000"
09/30/2022,"0.455","0.460","0.450","0.460","310,000"
09/29/2022,"0.425","0.430","0.425","0.430","270,000"
09/28/2022,"0.430","0.435","0.430","0.430","480,000"
09/27/2022,"0.470","0.470","0.455","0.455","850,000"
09/23/2022,"0.470","0.470","0.470","0.470","80,000"
09/22/2022,"0.500","0.500","0.460","0.460","100,000"
09/21/2022,"0.485","0.500","0.485","0.495","100,000"
09/20/2022,"0.470","0.490","0.470","0.470","200,000"
09/19/2022,"0.470","0.470","0.470","0.470","470,000"
09/16/2022,"0.520","0.520","0.470","0.470","380,000"
09/15/2022,"0.480","0.500","0.480","0.485","202,000"
09/14/2022,"0.485","0.510","0.485","0.500","149,000"
09/13/2022,"0.490","0.520","0.490","0.510","52,000"
09/12/2022,"0.510","0.510","0.485","0.510","628,000"
09/09/2022,"0.520","0.520","0.500","0.500","247,000"
09/08/2022,"0.520","0.530","0.510","0.520","468,000"
09/07/2022,"0.480","0.510","0.480","0.500","330,000"
09/06/2022,"0.500","0.500","0.480","0.495","993,000"
09/05/2022,"0.520","0.520","0.485","0.500","636,000"
09/02/2022,"0.530","0.530","0.495","0.510","1,583,000"
09/01/2022,"0.520","0.550","0.500","0.520","3,069,000"
08/31/2022,"0.540","0.570","0.510","0.540","6,107,000"
08/30/2022,"0.480","0.600","0.480","0.520","29,010,000"
08/24/2022,"0.450","0.465","0.450","0.465","100,000"
08/19/2022,"0.470","0.470","0.440","0.440","1,430,000"
08/18/2022,"0.445","0.495","0.445","0.490","1,220,000"
08/17/2022,"0.470","0.480","0.455","0.455","550,000"
08/16/2022,"0.455","0.470","0.455","0.470","600,000"
08/12/2022,"0.450","0.450","0.450","0.450","60,000"
08/09/2022,"0.440","0.440","0.440","0.440","40,000"
08/08/2022,"0.445","0.445","0.440","0.440","400,000"
08/04/2022,"0.450","0.450","0.450","0.450","130,000"
08/03/2022,"0.450","0.450","0.450","0.450","50,000"
08/02/2022,"0.450","0.480","0.450","0.470","2,030,000"
07/29/2022,"0.430","0.430","0.430","0.430","30,000"
07/28/2022,"0.440","0.450","0.440","0.440","1,250,000"
07/27/2022,"0.430","0.430","0.430","0.430","30,000"
07/26/2022,"0.425","0.440","0.425","0.440","870,000"
07/25/2022,"0.425","0.425","0.425","0.425","20,000"
07/22/2022,"0.450","0.455","0.450","0.455","30,000"
07/21/2022,"0.425","0.455","0.425","0.455","40,000"
07/20/2022,"0.430","0.430","0.425","0.425","70,000"
07/19/2022,"0.430","0.430","0.430","0.430","220,000"
07/15/2022,"0.430","0.430","0.430","0.430","200,000"
07/14/2022,"0.445","0.445","0.440","0.440","360,000"
07/13/2022,"0.430","0.430","0.430","0.430","20,000"
07/12/2022,"0.450","0.450","0.430","0.430","630,000"
07/11/2022,"0.450","0.470","0.450","0.470","380,000"
07/08/2022,"0.470","0.470","0.450","0.450","480,000"
07/07/2022,"0.450","0.450","0.450","0.450","350,000"
07/06/2022,"0.410","0.410","0.410","0.410","130,000"
07/05/2022,"0.420","0.420","0.420","0.420","10,000"
07/04/2022,"0.410","0.410","0.410","0.410","300,000"
07/01/2022,"0.410","0.410","0.410","0.410","50,000"
06/30/2022,"0.410","0.410","0.410","0.410","240,000"
06/27/2022,"0.410","0.410","0.410","0.410","10,000"
06/24/2022,"0.420","0.420","0.420","0.420","10,000"
06/23/2022,"0.420","0.420","0.420","0.420","30,000"
06/22/2022,"0.420","0.420","0.420","0.420","290,000"
06/20/2022,"0.420","0.420","0.420","0.420","100,000"
06/16/2022,"0.420","0.420","0.420","0.420","50,000"
06/15/2022,"0.420","0.420","0.420","0.420","50,000"
06/13/2022,"0.420","0.420","0.420","0.420","100,000"
06/10/2022,"0.420","0.420","0.420","0.420","120,000"
06/09/2022,"0.420","0.420","0.420","0.420","20,000"
06/08/2022,"0.430","0.430","0.430","0.430","30,000"
06/06/2022,"0.420","0.420","0.420","0.420","30,000"
06/03/2022,"0.420","0.420","0.420","0.420","10,000"
06/01/2022,"0.420","0.435","0.420","0.435","260,000"
05/31/2022,"0.420","0.420","0.420","0.420","30,000"
05/27/2022,"0.420","0.420","0.420","0.420","50,000"
05/26/2022,"0.420","0.420","0.420","0.420","120,000"
05/25/2022,"0.420","0.420","0.420","0.420","330,000"
05/24/2022,"0.420","0.420","0.420","0.420","20,000"
05/19/2022,"0.450","0.450","0.425","0.440","70,000"
05/17/2022,"0.430","0.430","0.430","0.430","240,000"
05/16/2022,"0.430","0.430","0.430","0.430","50,000"
05/13/2022,"0.420","0.420","0.420","0.420","220,000"
05/12/2022,"0.420","0.430","0.410","0.420","2,160,000"
05/11/2022,"0.420","0.420","0.420","0.420","120,000"
05/10/2022,"0.430","0.430","0.420","0.420","870,000"
05/06/2022,"0.430","0.435","0.430","0.430","120,000"
05/05/2022,"0.425","0.425","0.425","0.425","300,000"
05/04/2022,"0.430","0.430","0.430","0.430","120,000"
05/02/2022,"0.430","0.430","0.430","0.430","370,000"
04/28/2022,"0.430","0.430","0.430","0.430","90,000"
04/27/2022,"0.430","0.430","0.430","0.430","230,000"
04/26/2022,"0.430","0.430","0.430","0.430","210,000"
04/25/2022,"0.430","0.430","0.430","0.430","120,000"
04/22/2022,"0.450","0.450","0.450","0.450","10,000"
04/21/2022,"0.440","0.440","0.440","0.440","110,000"
04/20/2022,"0.440","0.450","0.440","0.445","170,000"
04/19/2022,"0.435","0.440","0.435","0.440","180,000"
04/18/2022,"0.435","0.435","0.435","0.435","220,000"
04/12/2022,"0.435","0.435","0.435","0.435","150,000"
04/07/2022,"0.440","0.440","0.435","0.435","110,000"
04/04/2022,"0.435","0.435","0.435","0.435","20,000"
03/31/2022,"0.435","0.435","0.435","0.435","10,000"
03/25/2022,"0.430","0.430","0.430","0.430","30,000"
03/24/2022,"0.430","0.430","0.425","0.430","130,000"
03/23/2022,"0.430","0.430","0.430","0.430","10,000"
03/22/2022,"0.430","0.430","0.420","0.430","210,000"
03/21/2022,"0.450","0.450","0.450","0.450","140,000"
03/16/2022,"0.430","0.430","0.425","0.425","1,770,000"
03/15/2022,"0.425","0.460","0.425","0.430","140,000"
03/14/2022,"0.445","0.445","0.420","0.420","250,000"
03/11/2022,"0.450","0.450","0.450","0.450","860,000"
03/10/2022,"0.450","0.450","0.450","0.450","10,000"
03/09/2022,"0.465","0.465","0.450","0.450","800,000"
03/08/2022,"0.460","0.460","0.455","0.455","590,000"
03/07/2022,"0.465","0.465","0.460","0.460","50,000"
03/04/2022,"0.460","0.490","0.460","0.490","80,000"
03/03/2022,"0.460","0.460","0.460","0.460","250,000"
03/02/2022,"0.455","0.455","0.455","0.455","60,000"
