Date,Open,High,Low,Close,Volume
12/29/2022,"0.127","0.127","0.127","0.127","50,000"
12/21/2022,"0.131","0.131","0.130","0.130","420,000"
12/13/2022,"0.128","0.129","0.128","0.129","270,000"
12/09/2022,"0.141","0.153","0.134","0.134","1,190,000"
12/06/2022,"0.133","0.155","0.133","0.154","650,000"
12/02/2022,"0.136","0.136","0.125","0.127","7,580,000"
11/25/2022,"0.138","0.138","0.138","0.138","130,000"
11/24/2022,"0.139","0.139","0.138","0.138","600,000"
11/23/2022,"0.138","0.138","0.138","0.138","270,000"
11/22/2022,"0.140","0.140","0.140","0.140","300,000"
11/21/2022,"0.150","0.150","0.150","0.150","190,000"
11/18/2022,"0.150","0.150","0.150","0.150","300,000"
11/16/2022,"0.150","0.150","0.150","0.150","400,000"
11/15/2022,"0.150","0.150","0.150","0.150","100,000"
10/28/2022,"0.152","0.152","0.152","0.152","190,000"
10/24/2022,"0.152","0.152","0.152","0.152","200,000"
10/18/2022,"0.152","0.152","0.152","0.152","30,000"
10/06/2022,"0.152","0.152","0.152","0.152","10,000"
09/28/2022,"0.152","0.152","0.152","0.152","1,060,000"
09/22/2022,"0.152","0.159","0.152","0.159","530,000"
09/20/2022,"0.153","0.164","0.153","0.164","60,000"
09/16/2022,"0.153","0.153","0.153","0.153","20,000"
09/12/2022,"0.153","0.153","0.153","0.153","90,000"
09/09/2022,"0.163","0.163","0.153","0.153","50,000"
09/08/2022,"0.161","0.161","0.153","0.153","1,020,000"
09/05/2022,"0.155","0.164","0.154","0.161","600,000"
09/01/2022,"0.154","0.167","0.154","0.167","300,000"
08/31/2022,"0.154","0.168","0.154","0.167","190,000"
08/30/2022,"0.168","0.168","0.168","0.168","440,000"
08/26/2022,"0.168","0.168","0.168","0.168","160,000"
08/25/2022,"0.165","0.165","0.165","0.165","200,000"
08/24/2022,"0.168","0.168","0.167","0.168","700,000"
08/22/2022,"0.159","0.159","0.159","0.159","10,000"
08/12/2022,"0.153","0.159","0.153","0.159","110,000"
08/11/2022,"0.159","0.159","0.159","0.159","1,230,000"
08/10/2022,"0.153","0.155","0.153","0.155","40,000"
08/09/2022,"0.153","0.155","0.153","0.155","2,600,000"
08/02/2022,"0.153","0.153","0.153","0.153","10,000"
08/01/2022,"0.153","0.153","0.153","0.153","30,000"
07/28/2022,"0.153","0.153","0.153","0.153","670,000"
07/22/2022,"0.153","0.153","0.153","0.153","50,000"
07/21/2022,"0.153","0.153","0.153","0.153","510,000"
07/20/2022,"0.159","0.159","0.159","0.159","10,000"
07/19/2022,"0.153","0.153","0.153","0.153","10,000"
07/18/2022,"0.159","0.159","0.159","0.159","80,000"
07/15/2022,"0.153","0.153","0.153","0.153","1,900,000"
07/12/2022,"0.153","0.153","0.153","0.153","10,000"
07/08/2022,"0.153","0.153","0.153","0.153","7,570,000"
07/06/2022,"0.160","0.170","0.160","0.170","30,000"
07/05/2022,"0.165","0.168","0.158","0.160","2,800,000"
07/04/2022,"0.170","0.170","0.168","0.168","320,000"
07/01/2022,"0.175","0.175","0.158","0.158","3,700,000"
06/30/2022,"0.165","0.165","0.165","0.165","360,000"
06/29/2022,"0.175","0.175","0.175","0.175","10,000"
06/28/2022,"0.176","0.176","0.166","0.166","450,000"
06/27/2022,"0.165","0.165","0.165","0.165","100,000"
06/23/2022,"0.178","0.178","0.165","0.165","1,770,000"
06/22/2022,"0.177","0.177","0.175","0.175","210,000"
06/21/2022,"0.166","0.176","0.166","0.176","70,000"
06/20/2022,"0.170","0.170","0.166","0.166","230,000"
06/17/2022,"0.170","0.170","0.170","0.170","100,000"
06/16/2022,"0.175","0.175","0.170","0.174","160,000"
06/15/2022,"0.176","0.177","0.176","0.177","360,000"
06/14/2022,"0.175","0.175","0.175","0.175","100,000"
06/08/2022,"0.174","0.174","0.170","0.170","270,000"
06/02/2022,"0.155","0.160","0.155","0.160","390,000"
05/31/2022,"0.160","0.160","0.160","0.160","70,000"
05/27/2022,"0.158","0.160","0.158","0.160","100,000"
05/26/2022,"0.160","0.160","0.160","0.160","20,000"
05/23/2022,"0.153","0.153","0.153","0.153","130,000"
05/20/2022,"0.160","0.160","0.152","0.153","6,040,000"
05/19/2022,"0.153","0.153","0.152","0.152","340,000"
05/18/2022,"0.160","0.160","0.160","0.160","200,000"
05/10/2022,"0.152","0.152","0.152","0.152","200,000"
05/05/2022,"0.160","0.160","0.160","0.160","10,000"
04/27/2022,"0.152","0.153","0.152","0.153","110,000"
04/26/2022,"0.151","0.152","0.151","0.152","50,000"
04/25/2022,"0.160","0.160","0.158","0.158","1,880,000"
04/22/2022,"0.170","0.170","0.170","0.170","60,000"
04/21/2022,"0.160","0.160","0.160","0.160","10,000"
04/18/2022,"0.160","0.160","0.160","0.160","60,000"
04/12/2022,"0.159","0.160","0.159","0.160","280,000"
04/11/2022,"0.160","0.160","0.159","0.159","860,000"
04/08/2022,"0.160","0.160","0.160","0.160","50,000"
04/05/2022,"0.160","0.160","0.160","0.160","210,000"
04/04/2022,"0.160","0.160","0.160","0.160","120,000"
04/01/2022,"0.160","0.160","0.160","0.160","70,000"
03/31/2022,"0.160","0.160","0.160","0.160","200,000"
03/30/2022,"0.162","0.162","0.162","0.162","100,000"
03/29/2022,"0.163","0.163","0.162","0.162","900,000"
03/25/2022,"0.174","0.174","0.162","0.162","80,000"
03/17/2022,"0.165","0.165","0.162","0.162","850,000"
03/16/2022,"0.165","0.166","0.165","0.166","40,000"
03/15/2022,"0.166","0.166","0.165","0.166","630,000"
03/14/2022,"0.167","0.167","0.166","0.166","150,000"
03/11/2022,"0.168","0.168","0.168","0.168","270,000"
03/10/2022,"0.170","0.170","0.168","0.168","480,000"
03/08/2022,"0.173","0.173","0.171","0.171","760,000"
03/07/2022,"0.172","0.178","0.172","0.178","330,000"
03/04/2022,"0.170","0.178","0.170","0.178","40,000"
03/03/2022,"0.170","0.178","0.165","0.178","3,100,000"
03/02/2022,"0.169","0.169","0.169","0.169","250,000"
02/24/2022,"0.173","0.173","0.169","0.169","510,000"
02/22/2022,"0.170","0.170","0.170","0.170","60,000"
02/21/2022,"0.181","0.185","0.177","0.177","2,150,000"
02/18/2022,"0.175","0.185","0.175","0.181","1,760,000"
02/17/2022,"0.175","0.175","0.168","0.174","400,000"
02/16/2022,"0.173","0.174","0.173","0.174","440,000"
02/15/2022,"0.174","0.174","0.174","0.174","60,000"
02/14/2022,"0.174","0.174","0.169","0.169","270,000"
02/11/2022,"0.170","0.170","0.170","0.170","350,000"
02/10/2022,"0.170","0.170","0.170","0.170","600,000"
02/09/2022,"0.171","0.171","0.171","0.171","160,000"
02/08/2022,"0.174","0.174","0.174","0.174","50,000"
02/07/2022,"0.174","0.174","0.174","0.174","500,000"
02/04/2022,"0.174","0.174","0.170","0.170","110,000"
02/03/2022,"0.174","0.174","0.169","0.170","1,230,000"
02/02/2022,"0.170","0.170","0.170","0.170","30,000"
01/31/2022,"0.175","0.175","0.170","0.170","190,000"
01/28/2022,"0.179","0.179","0.169","0.170","60,000"
01/27/2022,"0.175","0.175","0.175","0.175","80,000"
01/26/2022,"0.175","0.177","0.175","0.177","510,000"
01/25/2022,"0.173","0.175","0.172","0.175","820,000"
01/24/2022,"0.178","0.180","0.175","0.177","1,040,000"
01/21/2022,"0.180","0.180","0.176","0.176","1,440,000"
01/19/2022,"0.175","0.180","0.175","0.180","110,000"
01/17/2022,"0.165","0.175","0.165","0.175","170,000"
01/07/2022,"0.180","0.180","0.168","0.180","200,000"
01/03/2022,"0.177","0.179","0.177","0.179","100,000"
